"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"620
Studies-S Asian Religions","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Politics of South Asia","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.958","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Civs of India-Classical Per","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"864
Indo-Tibet Buddhst Doctrine","001","","6","3.786","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","33","",".",".",".",".",".",".",".","78.8","6.1",".",".","15.2",".",".",".","."
