"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","13","2.950","15.4","15.4","23.1","7.7","7.7","7.7",".","23.1",".",".",".",".",".",".",".","."
"Legal Writing-Foreign Stdts","603
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","713
001","21","3.600","47.6","19.0","28.6",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","713
002","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Process","Course Total","28","3.648","53.6","17.9","25.0",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Contracts II","721
001","67","3.433","35.8","16.4","46.3","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","20","3.450","25.0","40.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","21","3.357","23.8","33.3","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","723
003","17","3.412","23.5","35.3","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","19","3.263","15.8","31.6","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
005","20","3.375","25.0","35.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","006
723","18","3.139","22.2","33.3","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","007
723","18","3.417","22.2","38.9","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","20","3.325","15.0","45.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","16","3.406","25.0","31.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","18","3.389","27.8","33.3","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","20","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
013","18","3.361","16.7","38.9","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
014","20","3.400","25.0","35.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","260","3.367","22.3","36.5","36.9","2.3","1.5",".","0.4",".",".",".",".",".",".",".",".","."
"","724
001","99","3.648","45.5","37.4","16.2",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"","724
002","96","3.474","35.4","31.3","28.1","3.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","003
724","84","3.452","41.7","13.1","41.7","1.2","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","279","3.529","40.9","28.0","28.0","1.4","1.1","0.4",".",".",".",".",".",".","0.4",".",".","."
"","725
001","53","3.538","43.4","22.6","32.1","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
725","51","3.500","37.3","25.5","37.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
003","60","3.442","30.0","28.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
725","66","3.492","27.3","43.9","28.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
005","34","3.471","50.0","14.7","20.6","8.8","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","264","3.489","36.0","28.8","33.0","1.5","0.4","0.4",".",".",".",".",".",".",".",".",".","."
"","001
731","79","3.494","41.8","20.3","35.4",".","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"","731
002","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
003","23","3.553","34.8","21.7","26.1",".",".",".",".","13.0",".",".",".",".","4.3",".",".","."
"Constitutional Law I","Course Total","122","3.534","42.6","21.3","31.1",".","0.8","0.8",".","2.5",".",".",".",".","0.8",".",".","."
"Trusts and Estates","733
001","146","3.495","35.6","15.1","12.3","1.4","0.7","4.1",".","30.1",".",".",".",".","0.7",".",".","."
"Marital Property","734
001","25","3.587","52.0","4.0","36.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","29","3.565","41.4","10.3","24.1","3.4",".",".",".","20.7",".",".",".",".",".",".",".","."
"Constitutional Law II","740
001","95","3.588","30.5","23.2","17.9",".",".",".",".","28.4",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","47","3.265","21.3","14.9","19.1","14.9","2.1",".",".","27.7",".",".",".",".",".",".",".","."
"Taxation I","001
742","67","3.689","46.3","16.4","16.4",".",".",".",".","20.9",".",".",".",".",".",".",".","."
"Negotiations","743
001","26","3.555","26.9","53.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","65","3.330","18.5","16.9","46.2",".",".",".",".","18.5",".",".",".",".",".",".",".","."
