"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","418","001","","36","3.583","50.0","33.3","13.9",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"","418","002","","31","3.000","16.1","19.4","25.8","32.3","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","67","3.313","34.3","26.9","19.4","14.9","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Theme in 17c Eng Lit","426","001","","32","3.048","21.9","34.4","18.8","12.5",".",".","9.4",".",".",".",".",".",".",".",".","3.1"
"Milton","434","001","","27","3.385","18.5","44.4","29.6",".","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"English Novel: 18th Cent","459","001","","42","2.669","4.8","14.3","35.7","19.0","16.7","9.5",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","29","3.538","31.0","34.5","24.1",".",".",".",".","3.4",".",".",".",".",".","6.9",".","."
"Studies in Romantic Lit","465","001","","14","2.731","35.7","7.1","14.3",".","21.4",".","14.3",".",".",".",".",".","7.1",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","40","3.496","45.0","20.0","20.0","7.5","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","18","3.735","44.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Select Major Modern Amer Poets","509","008","","30","3.241","23.3","20.0","36.7","13.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"Recent British/Amer Fiction","511","008","","27","3.708","48.1","29.6","11.1",".",".",".",".","3.7",".",".",".",".",".","7.4",".","."
"Recent British/Amer Poetry","512","009","","23","3.435","34.8","39.1","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","","24","3.396","33.3","33.3","25.0","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Studies in Dramatic Lit","561","001","","90","2.994","24.4","24.4","20.0","10.0","12.2",".","6.7","1.1",".",".",".",".","1.1",".",".","."
"","574","001","","35","3.382","31.4","31.4","20.0","8.6","5.7",".",".",".",".",".",".",".",".",".",".","2.9"
"","574","002","","7","3.071","42.9",".","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Topic-Women Writng&Fem Thry","","Course Total","","42","3.329","33.3","26.2","21.4","9.5","4.8","2.4",".",".",".",".",".",".",".",".",".","2.4"
"Topic-Ethnic&Multicultr Lit","591","001","","56","3.835","71.4","23.2","3.6",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Major American Novelists","609","001","","34","3.419","29.4","32.4","17.6","8.8","2.9",".",".","8.8",".",".",".",".",".",".",".","."
"The American Short Story","610","001","","43","3.171","23.3","16.3","32.6","16.3","7.0",".",".","4.7",".",".",".",".",".",".",".","."
"Lit of the Amer Renaissance","618","001","","35","3.029","22.9","8.6","40.0","20.0","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Figures of Contemp Amer Lit","631","001","","30","3.483","40.0","23.3","33.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633","001","","92","3.136","18.5","20.7","35.9","14.1","4.3","2.2",".","3.3",".",".",".",".",".","1.1",".","."
"Selected Topics:Afro-Am Lit","672","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","695","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","003","","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","695","004","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Creative Writing","","Course Total","","64","3.897","81.3","14.1","3.1",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
