"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","42","3.964","95.2","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","19","3.658","52.6","36.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","160
002","16","3.563","62.5","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","160
004","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","52","3.673","63.5","23.1","9.6",".","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","170
001","16","3.469","31.3","43.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","170
002","19","3.500","42.1","31.6","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","170
003","21","3.476","47.6","33.3",".","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","56","3.482","41.1","35.7","10.7","3.6","8.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","129","3.000","14.7","25.6","21.7","19.4","17.8",".",".",".",".",".",".",".",".","0.8",".","."
"Geom Modeling-Engr Applcatn","001
232","81","3.204","17.3","30.9","29.6","19.8","2.5",".",".",".",".",".",".",".",".",".",".","."
"","240
001","12","2.458","33.3","8.3","16.7",".","16.7",".","25.0",".",".",".",".",".",".",".",".","."
"","240
002","14","3.000","28.6","7.1","28.6","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","240
003","17","2.824","17.6","11.8","29.4","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","240
004","21","2.381","4.8","9.5","23.8","19.0","28.6","9.5","4.8",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","64","2.648","18.8","9.4","25.0","17.2","15.6","7.8","6.3",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","16","3.860","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.850","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","21","2.619","14.3","9.5","19.0","19.0","28.6","9.5",".",".",".",".",".",".",".",".",".","."
"","306
003","19","2.342","15.8",".","15.8","26.3","21.1","15.8","5.3",".",".",".",".",".",".",".",".","."
"","306
004","18","2.750","16.7","22.2","22.2","5.6","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","306
005","17","2.412","5.9","11.8","23.5","23.5","11.8","23.5",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","75","2.533","13.3","10.7","20.0","18.7","20.0","16.0","1.3",".",".",".",".",".",".",".",".","."
"","307
002","13","2.731","7.7","23.1","38.5",".","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"","307
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","005
307","11","3.273","27.3","18.2","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
006","10","3.100",".","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","15","2.800","13.3","13.3","20.0","26.7","26.7",".",".",".",".",".",".",".",".",".",".","."
"","307
008","9","2.889","11.1",".","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","69","2.964","11.6","17.4","43.5","13.0","11.6","2.9",".",".",".",".",".",".",".",".",".","."
"","001
313","36","3.194","22.2","30.6","16.7","25.0","5.6",".",".",".",".",".",".",".",".",".",".","."
"","313
002","36","3.167","16.7","27.8","36.1","11.1","8.3",".",".",".",".",".",".",".",".",".",".","."
"","313
003","37","3.189","29.7","24.3","24.3","8.1","8.1","5.4",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","109","3.183","22.9","27.5","25.7","14.7","7.3","1.8",".",".",".",".",".",".",".",".",".","."
"","314
001","20","3.100","10.0","40.0","25.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","314
002","29","3.086","6.9","34.5","34.5","17.2","6.9",".",".",".",".",".",".",".",".",".",".","."
"","314
003","34","3.015","2.9","35.3","38.2","14.7","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","83","3.060","6.0","36.1","33.7","14.5","8.4","1.2",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","340
001","80","2.800","2.5","8.8","53.8","23.8","7.5","3.8",".",".",".",".",".",".",".",".",".","."
"","342
002","44","2.670","15.9","11.4","13.6","31.8","15.9","11.4",".",".",".",".",".",".",".",".",".","."
"","003
342","36","2.611","11.1","16.7","5.6","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 132 of 385",""
