"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","26","3.280","11.5","46.2","26.9","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","191","3.329","25.7","29.8","26.7","7.3","4.7","0.5",".","5.2",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","121","3.144","18.2","32.2","24.8","14.0","3.3","5.0",".","1.7",".",".",".",".",".","0.8",".","."
"Intro to Afro-American Art","242","001","90","3.000","11.1","20.0","42.2","15.6","4.4","4.4",".","2.2",".",".",".",".",".",".",".","."
"Intro Lit:18c-Harlm Renaiss","267","001","88","3.343","34.1","35.2","9.1","11.4","3.4","4.5",".",".",".",".",".",".",".","2.3",".","."
"Africa: Introductory Survey","277","001","46","2.378","4.3","13.0","19.6","8.7","43.5","2.2","6.5","2.2",".",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Afr/Afroam Hist Rel-1700 on","330","001","31","2.839","3.2","22.6","35.5","16.1","22.6",".",".",".",".",".",".",".",".",".",".","."
"Hist Afro-Am Upper Midwest","430","001","43","3.233","23.3","25.6","30.2","16.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","28","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","23","3.187","34.8","30.4","8.7","8.7","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","7","3.083",".","14.3","71.4",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Art of Afro-Am Women in US","540","001","6","3.100","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","16.7"
"Hist-Educ of Black Americns","567","001","19","3.316","26.3","42.1","21.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","10","2.700","10.0","10.0","20.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","8","2.938","12.5","25.0","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","636","001","28","3.232","17.9","39.3","25.0","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","669","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","13","3.423","38.5","30.8","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","001","16","2.733","6.3","31.3","25.0","6.3","6.3","18.8",".","6.3",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","17","3.656","35.3","52.9","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","20","3.429","75.0",".","15.0",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","28","3.537","75.0","3.6","10.7",".",".",".","3.6","3.6",".",".",".",".","3.6",".",".","."
"","790","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
