"","990
005","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Thesis","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"Independent Work","999
014","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"ECON
296","Dept. Total","3538","2.811","17.9","14.0","24.8","15.6","17.9","5.2","1.8","2.5","0.0","0.1",".","",".","0.1","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","631","2.640","11.6","11.3","25.0","18.7","24.6","7.0","1.7",".",".",".",".","",".",".","0.2",".","."
"Sophomore","","1047","2.757","14.9","13.0","26.2","16.4","22.0","5.3","1.6","0.2","0.1",".",".","",".","0.1","0.2",".","."
"Junior","","688","2.783","16.6","15.4","23.7","17.3","17.9","6.4","2.2","0.6",".",".",".","",".",".",".",".","."
"Senior","","798","2.827","16.8","15.2","25.7","16.9","14.7","5.0","2.5","2.6",".","0.3",".","",".",".","0.1","0.1","0.1"
"Undergraduates","","3164","2.756","15.1","13.7","25.3","17.2","19.8","5.8","2.0","0.9","0.0","0.1",".","",".","0.0","0.1","0.0","0.0"
"Special","","26","3.329","34.6","23.1","15.4","7.7","11.5",".",".","3.8",".",".",".","",".","3.8",".",".","."
"Graduate","","346","3.560","42.5","16.5","21.1","1.4","1.2",".",".","17.1",".",".",".","",".","0.3",".",".","."
"Prof Yr 1","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","3538","2.811","17.9","14.0","24.8","15.6","17.9","5.2","1.8","2.5","0.0","0.1",".","",".","0.1","0.1","0.0","0.0"
