"","999
062","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
069","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
070","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","11","2.400","27.3",".",".",".",".",".","9.1","45.5",".",".","",".","18.2",".",".",".","."
"ANTHRO
156","Dept. Total","1772","3.140","26.2","20.6","22.4","10.1","9.8","2.1","1.5","5.4","0.1",".","",".","0.6","0.2","0.1","0.6","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","248","2.762","11.3","18.5","27.8","21.0","12.9","4.4","4.0",".",".",".","",".",".",".",".",".","."
"Sophomore","","467","3.106","21.4","24.6","28.1","11.1","10.9","1.3","1.3","0.4",".",".","",".",".",".",".","0.9","."
"Junior","","402","3.160","28.9","23.6","20.9","8.0","11.4","3.2","1.0","1.7",".",".","",".",".",".","0.2","1.0","."
"Senior","","510","3.252","32.2","19.2","21.4","8.4","8.4","1.6","1.2","5.9","0.2",".","",".",".","0.6","0.2","0.2","0.6"
"Undergraduates","","1627","3.111","25.1","21.8","24.2","11.0","10.6","2.3","1.6","2.4","0.1",".","",".",".","0.2","0.1","0.6","0.2"
"Special","","15","3.786","40.0","13.3","6.7",".",".",".",".","26.7",".",".","",".",".",".",".","13.3","."
"Graduate","","130","3.743","39.2","6.9","2.3",".","0.8",".","0.8","40.0","0.8",".","",".","8.5","0.8",".",".","."
"","Dept. Total","1772","3.140","26.2","20.6","22.4","10.1","9.8","2.1","1.5","5.4","0.1",".","",".","0.6","0.2","0.1","0.6","0.2"
