"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Social Problems","130
001","116","2.960","11.2","28.4","31.0","10.3","9.5","6.0","0.9","2.6",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","116","3.534","45.7","31.0","17.2","1.7","2.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"","134
002","85","3.772","76.5","2.4","7.1","2.4","4.7",".",".","5.9",".",".",".",".","1.2",".",".","."
"","134
003","96","3.323","26.0","32.3","24.0","9.4","4.2","1.0",".","3.1",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","181","3.529","49.7","18.2","16.0","6.1","4.4","0.6",".","4.4",".",".",".",".","0.6",".",".","."
"The Sociology of Gender","138
002","100","3.315","30.0","34.0","16.0","15.0","3.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","160
001","193","2.816","12.4","19.2","28.0","18.1","13.0","5.2","2.6","1.0","0.5",".",".",".",".",".",".","."
"","160
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","194","2.816","12.4","19.1","27.8","18.0","12.9","5.2","2.6","1.0","0.5",".",".",".",".",".",".","0.5"
"Hnrs Smr:Sociolgl Enterprse","181
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Survey of Sociology","001
210","167","3.102","18.6","29.9","28.1","12.0","7.8","1.2","2.4",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","10","2.722","10.0","20.0","20.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".","10.0","."
"People&Places:Demog-Rur Am","266
001","17","2.844","11.8","11.8","41.2","5.9","17.6","5.9",".",".",".",".",".",".",".","5.9",".","."
"Africa: Introductory Survey","277
001","45","2.700","8.9","13.3","35.6","11.1","24.4","4.4","2.2",".",".",".",".",".",".",".",".","."
"","357
002","28","3.125","21.4","25.0","17.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
357","31","3.516","74.2","6.5","3.2","6.5",".","6.5","3.2",".",".",".",".",".",".",".",".","."
"","357
004","28","3.125","25.0","14.3","32.1","17.9","10.7",".",".",".",".",".",".",".",".",".",".","."
"","357
005","26","3.369","30.8","34.6","30.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","113","3.289","38.9","19.5","20.4","13.3","4.4","1.8","1.8",".",".",".",".",".",".",".",".","."
"","001
360","38","3.514","55.3","15.8","7.9","15.8",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"","360
002","32","3.188","28.1","28.1","18.8","9.4","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","70","3.362","42.9","21.4","12.9","12.9","5.7","2.9",".","1.4",".",".",".",".",".",".",".","."
"Stats for Sociologists II","001
361","18","3.306","33.3","27.8","27.8",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","31","3.613","41.9","38.7","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","98","3.432","30.6","40.8","14.3","4.1","7.1",".",".","2.0",".",".",".",".",".",".",".","1.0"
"Classical Soc Theory","475
002","47","2.766","12.8","19.1","21.3","27.7","8.5","8.5","2.1",".",".",".",".",".",".",".",".","."
"Contemporary Soc Theory","476
001","6","2.083",".","16.7",".","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"","496
001","12","3.318","25.0","41.7","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","8.3"
"","002
496","63","3.063","22.2","20.6","25.4","17.5","11.1","3.2",".",".",".",".",".",".",".",".",".","."
"","496
003","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","82","3.117","23.2","24.4","22.0","15.9","11.0","2.4",".",".",".",".",".",".",".",".",".","1.2"
"Topics-Soc: Study Abroad","497
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
001","56","3.161","26.8","25.0","26.8","10.7","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"","530
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","58","3.176","27.6","25.9","25.9","10.3","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","001
532","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","23","3.029","26.1","21.7","13.0","17.4","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Public Opinion","536
001","16","2.813","43.8","6.3","12.5","6.3","12.5","6.3","12.5",".",".",".",".",".",".",".",".","."
