"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","175
002","","24","3.542","66.7","12.5","8.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","175
003","","32","3.469","50.0","21.9","15.6","3.1","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","85","3.584","61.2","15.3","11.8","2.4","4.7","1.2","1.2","2.4",".",".",".",".",".",".",".","."
"Orienteering","194
001","","16","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Cross Country Skiing I","196
001","","8","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","201
001","","14","3.188","14.3","21.4","7.1",".","14.3",".",".","42.9",".",".",".",".",".",".",".","."
"","002
201","","19","3.412","57.9","21.1",".",".",".",".","10.5","10.5",".",".",".",".",".",".",".","."
"","201
003","","23","3.861","56.5","21.7",".",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","56","3.558","46.4","21.4","1.8",".","3.6",".","3.6","23.2",".",".",".",".",".",".",".","."
"","001
211","","17","4.000","88.2",".",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","211
002","","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","211
003","","17","3.750","76.5",".","11.8",".","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"","211
004","","25","4.000","76.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".","4.0","."
"Intro to Martial Arts","Course Total","","78","3.941","83.3",".","2.6",".","1.3",".",".","10.3",".",".",".",".",".","1.3","1.3","."
"Marathon/Distance Training","231
001","","24","3.105","16.7","20.8","25.0","12.5",".",".","4.2",".","8.3",".",".",".",".",".",".","12.5"
"Weight Training II","232
001","","13","3.636","46.2","23.1","7.7","7.7",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"Golf II","238
001","","14","3.955","71.4","7.1",".",".",".",".",".","14.3",".",".",".",".",".","7.1",".","."
"Power Skating","244
001","","24","3.500","20.8","20.8",".","4.2","4.2",".",".","50.0",".",".",".",".",".",".",".","."
"","262
001","","19","3.750","52.6","10.5","5.3","5.3",".",".",".","26.3",".",".",".",".",".",".",".","."
"","262
003","","12","3.278","25.0","41.7",".",".",".",".","8.3","25.0",".",".",".",".",".",".",".","."
"","262
004","","6","3.500",".","16.7",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","37","3.563","35.1","21.6","2.7","2.7",".",".","2.7","35.1",".",".",".",".",".",".",".","."
"Racquetball II","263
001","","13","3.650","23.1","53.8",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"Soccer II","273
001","","32","3.964","81.3","6.3",".",".",".",".",".","9.4",".",".",".",".",".","3.1",".","."
"","275
001","","32","3.762","37.5","25.0","3.1",".",".",".",".","34.4",".",".",".",".",".",".",".","."
"","275
002","","29","3.667","51.7","20.7","6.9",".",".","3.4",".","10.3","6.9",".",".",".",".",".",".","."
"Volleyball II","Course Total","","61","3.711","44.3","23.0","4.9",".",".","1.6",".","23.0","3.3",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","001
277","","31","3.200","12.9","25.8","32.3","6.5",".","3.2",".","19.4",".",".",".",".",".",".",".","."
"Bicycling","295
001","","19","3.806","63.2","26.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","300
001","","24","3.538","20.8","20.8","8.3","4.2",".",".",".","41.7",".",".",".",".",".","4.2",".","."
"","002
300","","22","3.833","68.2","4.5","4.5","4.5",".",".",".","18.2",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","Course Total","","46","3.710","43.5","13.0","6.5","4.3",".",".",".","30.4",".",".",".",".",".","2.2",".","."
"Swim Endur&Stroke Proficncy","301
001","","22","3.857","72.7","18.2","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","","15","3.417","33.3","13.3","26.7",".","6.7",".",".","20.0",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","21","3.417","9.5","52.4","23.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","19","3.643","42.1","10.5","21.1",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Topics in Martial Arts","001
318","","27","3.460","25.9","40.7","18.5","7.4",".",".",".","7.4",".",".",".",".",".",".",".","."
"Triathlon Training","330
001","","33","3.536","12.1","21.2","9.1",".",".",".",".","57.6",".",".",".",".",".",".",".","."
"","362
001","","17","3.417","23.5","17.6","23.5","5.9",".",".",".","23.5",".",".",".",".",".","5.9",".","."
"","362
002","","18","3.583","44.4","5.6","5.6","5.6","5.6",".",".","33.3",".",".",".",".",".",".",".","."
"Tennis III","Course Total","","35","3.500","34.3","11.4","14.3","5.7","2.9",".",".","28.6",".",".",".",".",".","2.9",".","."
