"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","22","3.273","22.7","18.2","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","24","3.354","16.7","45.8","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","22","3.500","36.4","22.7","36.4",".",".",".",".",".","4.5",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","68","3.373","25.0","29.4","38.2","5.9",".",".",".",".","1.5",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","15","3.265",".","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Gen Surg Clerkship-LaCrosse","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Gen Surg Clerk-Marshfield","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","009","","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"935","012","","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurosurgery Clerkship-CSC","Course Total","","32","3.530","31.3","40.6","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","16","3.500","18.8","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
