"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"Landscape Invntry&Eval Meth","262","001","","46","3.000","26.1","26.1","19.6","8.7","8.7","6.5","4.3",".",".",".",".",".",".",".",".","."
"Independent Studies","299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","312","001","","20","3.000","20.0","30.0","30.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","312","002","","22","2.955",".","50.0","36.4","4.5",".",".","9.1",".",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","42","2.976","9.5","40.5","33.3","7.1",".",".","9.5",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","20","3.725","60.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","21","3.071","19.0","28.6","23.8","4.8","23.8",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","20","3.375","20.0","40.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","18","3.265","27.8","11.1","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6","."
"Senior Project in Land Arc","551","001","","17","3.067","17.6","11.8","35.3","11.8","11.8",".",".",".",".",".",".",".","11.8",".",".","."
"Remote Sensing Digitl Image","556","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computerzd Land Info Systms","655","001","","32","2.781","3.1","21.9","34.4","21.9","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677","001","","19","3.156","21.1","15.8","42.1",".",".",".","5.3","5.3",".",".",".",".","10.5",".",".","."
"Senior Thesis","691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Crit Inquiry-Landscape Dsgn","720","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Design Workshop","920","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"","999","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","5","***","","","","","","","","","","","","","","","",""
