"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Signals and Systems","330
001","86","2.808","17.4","14.0","39.5","8.1","10.5","2.3","8.1",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","36","2.847","16.7","16.7","22.2","19.4","19.4","5.6",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","37","3.108","29.7","18.9","13.5","18.9","18.9",".",".",".",".",".",".",".",".",".",".","."
"","335
001","38","3.329","26.3","28.9","36.8",".","7.9",".",".",".",".",".",".",".",".",".",".","."
"","335
002","44","3.375","29.5","27.3","34.1","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","82","3.354","28.0","28.0","35.4","3.7","4.9",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","65","3.000","21.5","18.5","30.8","12.3","10.8","4.6","1.5",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","62","3.145","25.8","16.1","29.0","19.4","9.7",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","001
345","14","3.125","14.3","14.3","35.7","21.4",".",".",".",".",".",".",".",".",".","7.1","7.1","."
"","001
350","22","3.568","27.3","63.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","20","3.700","50.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","18","3.583","27.8","66.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","80","3.656","41.3","52.5","2.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","14","3.321","28.6","28.6","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","006
351","15","3.400","33.3","26.7","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","86","3.459","34.9","30.2","29.1","3.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","352
001","77","2.799","13.0","13.0","27.3","19.5","24.7","2.6",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","001
353","66","2.659","18.2","21.2","16.7","16.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","354
001","12","2.833","16.7","8.3","41.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","002
354","15","2.667","13.3","13.3","40.0","13.3","6.7",".","13.3",".",".",".",".",".",".",".",".","."
"","354
003","35","3.114","37.1","17.1","17.1","5.7","14.3","8.6",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","62","2.952","27.4","14.5","27.4","8.1","12.9","6.5","3.2",".",".",".",".",".",".",".",".","."
"","355
002","8","2.857","25.0","25.0","12.5",".","12.5",".","12.5","12.5",".",".",".",".",".",".",".","."
"","355
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","10","2.889","30.0","20.0","10.0",".","20.0",".","10.0","10.0",".",".",".",".",".",".",".","."
"","370
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
370","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
006","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","59","3.805","67.8","25.4","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","80","3.088","38.8","8.8","21.3","13.8","8.8","7.5","1.3",".",".",".",".",".",".",".",".","."
"","376
002","66","3.053","13.6","27.3","34.8","4.5","19.7",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","146","3.072","27.4","17.1","27.4","9.6","13.7","4.1","0.7",".",".",".",".",".",".",".",".","."
"","377
001","30","3.333","26.7","36.7","23.3","3.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"","377
002","41","3.280","31.7","34.1","12.2","12.2","7.3",".","2.4",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","71","3.303","29.6","35.2","16.9","8.5","8.5",".","1.4",".",".",".",".",".",".",".",".","."
"","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 118 of 385",""
