"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","056","14","3.036",".","50.0","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","100","057","15","3.250","13.3","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","100","058","12","3.167","16.7","16.7","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","2.846","7.7","38.5","15.4","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","679","3.288","17.7","44.2","23.4","9.4","2.9","1.3","0.3",".",".",".",".",".",".","0.4","0.1","0.1"
"","105","001","12","3.227","25.0","16.7","33.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","105","002","14","3.154",".","42.9","35.7","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"","105","003","17","3.167","5.9","41.2","29.4",".","11.8",".",".","11.8",".",".",".",".",".",".",".","."
"","105","004","15","3.179","6.7","33.3","40.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"","105","005","16","3.200","18.8","31.3","31.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","105","006","10","3.111","10.0","20.0","40.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Public Speaking","","Course Total","84","3.175","10.7","32.1","34.5","9.5","3.6","1.2",".","8.3",".",".",".",".",".",".",".","."
"Bascom Course","236","001","13","3.462","23.1","61.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","220","2.975","7.7","18.6","47.7","17.3","6.8",".","1.4",".",".",".",".",".","0.5",".",".","."
"Communication & Human Behav","260","001","136","3.478","37.5","29.4","26.5","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","98","3.428","34.7","31.6","23.5","4.1","4.1","1.0",".",".",".",".",".",".",".",".",".","1.0"
"Thry&Pract-Group Discussion","266","001","96","3.146","12.5","28.1","44.8","5.2","9.4",".",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","270","001","95","2.884","11.6","16.8","33.7","21.1","13.7","2.1","1.1",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","100","3.212","19.0","36.0","33.0","4.0","3.0","1.0","3.0","1.0",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","162","2.880","5.6","21.0","38.3","21.0","7.4","3.1","1.2","1.9",".",".",".",".",".","0.6",".","."
"Introduction to Television","351","001","160","3.201","11.9","36.9","36.9","8.1","5.0","0.6",".","0.6",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","95","2.895","9.5","20.0","26.3","30.5","12.6","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355","001","133","3.172","12.0","33.1","36.1","14.3","2.3",".","0.8","0.8",".",".",".",".",".",".","0.8","."
"Quantitatve Rsch-Communictn","361","001","42","3.583","57.1","19.0","16.7","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","48","3.104","6.3","35.4","35.4","18.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","50","2.990","10.0","10.0","58.0","8.0","12.0",".",".",".",".",".",".",".",".",".","2.0","."
"History of Broadcasting","450","001","67","2.917","9.0","20.9","37.3","16.4","11.9","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Television Criticism","451","001","85","3.076","8.2","37.6","27.1","22.4","2.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"Telecommunications Policy","452","001","33","3.063","15.2","18.2","45.5","12.1","3.0",".","3.0","3.0",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","13","3.462","38.5","15.4","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","25","3.280","28.0","24.0","24.0","24.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457","001","103","3.074","19.4","21.4","28.2","18.4","7.8","2.9",".","1.9",".",".",".",".",".",".",".","."
"Communicatn Technol&Society","459","001","36","3.236","22.2","27.8","27.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","16","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556","001","57","2.781","17.5","10.5","17.5","26.3","24.6","3.5",".",".",".",".",".",".",".",".",".","."
"Thry-Argumentatn&Controvrsy","562","001","22","3.182","36.4",".","40.9","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","106","3.755","64.2","19.8","14.2",".",".",".",".","0.9",".",".",".",".",".","0.9",".","."
"Communicatn in Complex Orgs","575","001","46","3.956","89.1","8.7",".",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","22","3.273","36.4","18.2","36.4",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","613","001","35","3.543","34.3","40.0","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 183 of 385",""
