"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","170","2.832","10.6","17.6","29.4","18.2","21.8","1.8","0.6",".",".",".",".",".",".",".",".","."
"102","001","","34","3.227","23.5","20.6","35.3","11.8","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"102","002","","38","3.053","26.3","13.2","31.6","13.2","13.2",".","2.6",".",".",".",".",".",".",".",".","."
"102","003","","38","3.250","28.9","21.1","26.3","18.4","5.3",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","110","3.174","26.4","18.2","30.9","14.5","8.2",".","0.9","0.9",".",".",".",".",".",".",".","."
"299","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.957","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","159","2.810","15.1","6.9","29.6","28.3","16.4","2.5","0.6",".",".",".",".",".",".",".","0.6","."
"304","001","","26","3.269","23.1","26.9","34.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"304","002","","41","3.300","29.3","22.0","39.0","2.4","2.4",".","2.4",".",".",".",".",".",".",".","2.4","."
"304","003","","38","3.118","10.5","23.7","47.4","15.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","105","3.226","21.0","23.8","41.0","9.5","2.9",".","1.0",".",".",".",".",".",".",".","1.0","."
"330
Host-Parasite Interactions","001","","60","3.347","38.3","18.3","25.0","6.7","10.0",".",".","1.7",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","66","2.797","18.2","15.2","22.7","6.1","30.3","1.5","3.0",".",".",".",".",".",".",".","3.0","."
"399
Coord Intrnshp/Cooprtv Educ","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Environmental Microbiology","001","","14","3.038","21.4","14.3","21.4","21.4","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"531
Undergraduate Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Topics in Biotechnology","001","","53","3.868","77.4","18.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Physiol Divrsty-Procaryotes","001","","81","2.636","13.6","14.8","18.5","16.0","25.9","9.9","1.2",".",".",".",".",".",".",".",".","."
"551","001","","18","3.306","27.8","22.2","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"551","002","","19","3.263","21.1","15.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"551","003","","24","3.208","20.8","12.5","58.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"551","004","","18","3.306","33.3","11.1","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","","79","3.266","25.3","15.2","50.6","5.1","3.8",".",".",".",".",".",".",".",".",".",".","."
"568
Microbiol-Atomic Resolution","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","9","2.944","11.1","22.2","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
