"MED","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"212
001
The Physician in History","19","3.139","5.3","26.3","52.6","10.5",".",".","",".","5.3",".","",".",".","",".","",".",".",".","."
"284
001
Physician in Hist (Honors)","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"333
001
History of Modern Biology","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"444
001
Health&Soc Welfare-West Soc","6","3.200","16.7","16.7","33.3","16.7",".",".","",".","16.7",".","",".",".","",".","",".",".",".","."
"508
001
Health, Disease&Healing II","11","3.279","9.1","45.5","36.4","9.1",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"523
001
Race, Amer Med & Pub Health","18","3.188","5.6","38.9","33.3","5.6","5.6",".","",".","5.6",".","",".",".","",".","","5.6",".",".","."
"531
001
Women & Health-Amer History","9","3.556","33.3","44.4","22.2",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"001
558
Ethical Probs-Biomed Tech","22","3.571","40.9","27.3","27.3",".",".",".","",".","4.5",".","",".",".","",".","",".",".",".","."
"559
001
Topics-Ethics & Hist of Med","32","3.328","28.1","37.5","21.9","9.4",".",".","","3.1",".",".","",".",".","",".","",".",".",".","."
"562
001
Byzantine Med & Pharmacy","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"565
001
Ethics of Modern Biotechnology","8","3.852","62.5","25.0",".",".",".",".","",".","12.5",".","",".",".","",".","",".",".",".","."
"699
004
Ind Study in Med History","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"720
001
Hist Perspectives-Medicine","12","",".",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".",".",".","."
"730
001
Ethical Issues in Medicine","6","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"MED HIST
Dept. Total
452","154","3.387","26.0","30.5","24.7","5.8","0.6","",".","0.6","11.0","",".",".","",".","",".","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","9","3.111",".","33.3","55.6","11.1",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","9","3.250","22.2","11.1","55.6",".",".","",".",".","11.1","",".",".","",".","",".",".",".",".","."
"Junior","25","3.309","24.0","28.0","32.0","16.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","75","3.388","22.7","44.0","20.0","5.3","1.3","",".","1.3","5.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","118","3.339","21.2","37.3","28.0","7.6","0.8","",".","0.8","4.2","",".",".","",".","",".",".",".",".","."
"Special","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","9","3.940","77.8","11.1",".",".",".","",".",".",".","",".",".","",".","",".","11.1",".",".","."
"Prof Yr 1","17","3.333","11.8",".","23.5",".",".","",".",".","64.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","2","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","26","3.456","30.8","7.7","19.2",".",".","",".",".","42.3","",".",".","",".","",".",".",".",".","."
"Dept. Total","154","3.387","26.0","30.5","24.7","5.8","0.6","",".","0.6","11.0","",".",".","",".","",".","0.6",".",".","."
