"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","200
001","41","",".",".",".",".",".",".",".",".",".","97.6","2.4",".",".",".",".","."
"","200
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Careers in Finance","Course Total","55","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"","205
001","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","205
002","34","",".",".",".",".",".",".",".","5.9",".","88.2","5.9",".",".",".",".","."
"Financial Modeling in Excel","Course Total","87","",".",".",".",".",".",".",".","2.3",".","95.4","2.3",".",".",".",".","."
"","300
001","66","3.054","27.3","16.7","21.2","18.2","12.1",".","3.0","1.5",".",".",".",".",".",".",".","."
"","300
002","169","3.166","29.0","20.1","23.1","13.0","14.2",".","0.6",".",".",".",".",".",".",".",".","."
"","300
003","118","2.771","18.6","18.6","16.9","18.6","14.4","11.0","1.7",".",".",".",".",".",".",".",".","."
"","300
004","113","2.929","19.5","21.2","20.4","17.7","14.2","4.4","1.8",".",".",".",".",".","0.9",".",".","."
"","300
100","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","473","3.006","24.7","19.5","20.3","16.1","13.7","3.8","1.5","0.2",".",".",".",".","0.2",".",".","."
"","305
001","56","3.436","30.4","39.3","21.4","3.6","1.8","1.8",".",".",".",".",".",".","1.8",".",".","."
"","305
002","54","3.676","48.1","40.7","9.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","58","3.526","39.7","36.2","15.5","6.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"","305
004","60","3.275","38.3","20.0","18.3","11.7","8.3","3.3",".",".",".",".",".",".",".",".",".","."
"","305
005","58","3.517","53.4","13.8","22.4","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","286","3.482","42.0","29.7","17.5","5.6","3.8","1.0",".",".",".",".",".",".","0.3",".",".","."
"","320
001","59","3.373","30.5","30.5","23.7","13.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"","320
002","60","3.300","25.0","31.7","25.0","15.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","320
003","55","3.055","16.4","27.3","29.1","12.7","10.9","3.6",".",".",".",".",".",".",".",".",".","."
"","320
004","51","3.098","15.7","25.5","37.3","9.8","9.8","2.0",".",".",".",".",".",".",".",".",".","."
"","320
005","52","3.202","25.0","21.2","34.6","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","277","3.211","22.7","27.4","29.6","11.9","7.2","1.1",".",".",".",".",".",".",".",".",".","."
"","325
002","59","3.415","30.5","30.5","30.5","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","60","3.475","35.0","30.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","325
004","95","3.274","22.1","26.3","38.9","9.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","214","3.369","28.0","28.5","34.1","7.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"","330
001","59","3.212","23.7","28.8","25.4","10.2","11.9",".",".",".",".",".",".",".",".",".",".","."
"","330
002","59","3.381","28.8","35.6","20.3","13.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"","330
003","59","3.331","23.7","39.0","22.0","10.2","5.1",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","177","3.308","25.4","34.5","22.6","11.3","6.2",".",".",".",".",".",".",".",".",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
008","41","3.744","63.4","26.8","7.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","365
009","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","76","3.724","59.2","30.3","9.2",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
158","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","53","3.292","24.5","32.1","26.4","11.3","5.7",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","39","3.679","51.3","35.9","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","38","3.382","15.8","47.4","34.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 53 of 469",""
