"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","18","3.941","94.4",".","5.6","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","50","3.985","98.0","2.0",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","73","3.976","97.3","1.4","1.4","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","238","3.797","61.3","21.0","6.3","",".","0.8","",".","",".","10.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
