"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
045","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","110
046","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
047","28","3.893","85.7","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","110
049","27","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
100","37","3.149","45.9","10.8","21.6","2.7","8.1","5.4","5.4",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","995","3.871","86.4","7.4","3.5","1.1","0.8","0.4","0.3",".",".",".",".",".",".",".",".","."
"Business Law","301
001","466","3.112","17.6","22.7","36.7","9.9","12.9",".",".","0.2",".",".",".",".",".",".",".","."
"","302
001","40","3.863","75.0","22.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","40","3.813","72.5","20.0","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","80","3.838","73.8","21.3","3.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","78","3.122","30.8","20.5","12.8","19.2","14.1","2.6",".",".",".",".",".",".",".",".",".","."
"","306
002","78","3.205","29.5","21.8","26.9","14.1","3.8","2.6","1.3",".",".",".",".",".",".",".",".","."
"","306
003","80","3.122","27.5","11.3","28.8","17.5","12.5",".",".",".",".",".",".",".","2.5",".",".","."
"","306
004","110","3.193","29.1","19.1","22.7","17.3","10.9",".",".",".",".",".",".",".","0.9",".",".","."
"","306
005","114","3.230","34.2","12.3","28.9","14.0","8.8","0.9",".",".",".",".",".",".","0.9",".",".","."
"","306
006","107","3.269","34.6","22.4","16.8","13.1","8.4","0.9","0.9",".",".",".",".",".","2.8",".",".","."
"Business Analytics I","Course Total","567","3.196","31.2","17.8","22.9","15.7","9.7","1.1","0.4",".",".",".",".",".","1.2",".",".","."
"","307
001","36","2.958","16.7","30.6","16.7","16.7","11.1","8.3",".",".",".",".",".",".",".",".",".","."
"","307
002","51","3.088","29.4","23.5","13.7","17.6","7.8","7.8",".",".",".",".",".",".",".",".",".","."
"","307
003","98","3.286","38.8","24.5","10.2","16.3","6.1","4.1",".",".",".",".",".",".",".",".",".","."
"","307
004","97","3.232","27.8","33.0","15.5","15.5","3.1","5.2",".",".",".",".",".",".",".",".",".","."
"","307
005","99","3.121","24.2","26.3","15.2","24.2","7.1","3.0",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","381","3.172","28.9","27.6","13.9","18.4","6.3","5.0",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","260","3.116","18.1","23.5","28.8","20.8","5.4","0.8","0.4","0.8",".",".",".",".",".","0.8","0.8","."
"","311
001","83","3.366","31.3","37.3","18.1","6.0","2.4","2.4","1.2","1.2",".",".",".",".",".",".",".","."
"","311
002","84","3.440","33.3","41.7","13.1","6.0","4.8","1.2",".",".",".",".",".",".",".",".",".","."
"","311
003","85","3.288","23.5","37.6","21.2","10.6","5.9","1.2",".",".",".",".",".",".",".",".",".","."
"","311
004","84","3.211","25.0","41.7","13.1","7.1","4.8","4.8","2.4","1.2",".",".",".",".",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","Course Total","336","3.326","28.3","39.6","16.4","7.4","4.5","2.4","0.9","0.6",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
004","19","3.553","31.6","52.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
005","20","3.625","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
006","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
007","19","3.579","31.6","63.2",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","360
008","18","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
010","20","3.500","15.0","70.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
011","19","3.711","42.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
012","20","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
013","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
014","17","3.588","23.5","70.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 47 of 469"
