"Third Semester Hebrew","201
001","","7","3.929","85.7","14.3","",".",".","",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Intro to Hebrew Literature","301
001","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Topics in Modern Hebrew Lit","401
001","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"442
HEBR-MOD","Dept. Total","","25","3.753","80.0","12.0","",".","4.0","",".","4.0","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.750","83.3",".","",".","16.7","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","7","3.571","85.7",".","",".",".","",".","14.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","6","3.909","83.3","16.7","",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","22","3.744","81.8","9.1","",".","4.5","",".","4.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","25","3.753","80.0","12.0","",".","4.0","",".","4.0","",".","",".","",".",".","",".","",".","",".",".",".","."
