"HISTORY OF SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"Origins-Scientific Thought","201","001","152","3.756","62.5","17.1","5.3","0.7",".","1.3","0.7","11.8",".",".",".",".",".","0.7",".","."
"The Historian's Craft (HSMT)","211","002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bodies, Diseases, and Healers","212","001","87","3.449","36.8","16.1","16.1","3.4","3.4","2.3",".","21.8",".",".",".",".",".",".",".","."
"Sci, Med, & Race: A History","275","001","98","3.633","54.1","33.7","8.2","1.0",".","2.0","1.0",".",".",".",".",".",".",".",".","."
"Hon Sm:Studies-Sci,Tech,Med","280","001","15","3.733","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Human History of Plant&Science","301","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Inequal. Long 20th C.","360","001","31","3.542","41.9","25.8","3.2",".","3.2",".","3.2","22.6",".",".",".",".",".",".",".","."
"History of Pharmacy","401","001","9","3.500","55.6","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Disease","404","001","22","3.594","36.4","22.7","4.5","9.1",".",".",".","22.7",".",".",".",".",".",".","4.5","."
"Health, Disease&Healing II","508","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childbirth in the US","537","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historiography & Methods","720","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Special Topics","921","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","104","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
