"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","58","2.759","15.5","15.5","31.0","5.2","22.4","8.6","1.7",".",".",".",".",".",".",".",".","."
"","101
002","91","2.850","26.4","11.0","22.0","7.7","22.0","8.8","1.1",".",".",".",".",".","1.1",".",".","."
"Animal Biology","Course Total","149","2.814","22.1","12.8","25.5","6.7","22.1","8.7","1.3",".",".",".",".",".","0.7",".",".","."
"","102
001","9","2.556","33.3",".","33.3",".",".","22.2","11.1",".",".",".",".",".",".",".",".","."
"","102
002","6","2.667","16.7","33.3",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","102
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","2.929","28.6","14.3","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","102
006","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
008","8","2.563","12.5","25.0","12.5","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"","102
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
010","10","3.100","40.0",".","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
014","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","86","3.029","29.1","20.9","20.9","5.8","14.0","8.1","1.2",".",".",".",".",".",".",".",".","."
"","151
001","58","2.983","24.1","15.5","36.2","1.7","15.5","3.4","3.4",".",".",".",".",".",".",".",".","."
"","151
002","70","2.943","20.0","10.0","41.4","4.3","20.0","4.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","128","2.961","21.9","12.5","39.1","3.1","18.0","3.9","1.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","125","3.156","29.6","17.6","32.8","5.6","10.4","2.4","1.6",".",".",".",".",".",".",".",".","."
"","153
001","21","3.000","19.0","19.0","33.3","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","153
002","31","2.883","16.1","6.5","48.4","3.2","19.4",".","3.2",".",".",".",".",".","3.2",".",".","."
"Introductory Biology","Course Total","52","2.931","17.3","11.5","42.3","5.8","17.3","1.9","1.9",".",".",".",".",".","1.9",".",".","."
"Introductory Ecology","260
001","52","3.500","48.1","17.3","26.9","1.9","5.8",".",".",".",".",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","15","3.964","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","11","2.773","18.2","27.3","9.1",".","36.4","9.1",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","72","3.508","47.2","12.5","23.6","1.4","4.2","1.4",".",".",".",".",".",".",".",".","9.7","."
"","316
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","20","3.850","90.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","316
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","45","3.911","93.3",".","4.4",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","110","3.491","50.0","23.6","15.5","5.5","2.7","0.9","1.8",".",".",".",".",".",".",".",".","."
"","400
001","39","3.224","25.6","28.2","23.1","10.3","7.7","2.6",".","2.6",".",".",".",".",".",".",".","."
"","400
002","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 360 of 469",""
