"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","15","3.600","60.0","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","159","001","","30","3.350","33.3","26.7","26.7","10.0",".","3.3",".",".",".",".",".",".",".",".",".","."
"","159","002","","22","3.205","22.7","36.4","22.7","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","159","003","","21","3.452","38.1","19.0","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","","Course Total","","73","3.336","31.5","27.4","28.8","6.8","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Architectural Visualization","250","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","42","3.179","26.2","19.0","28.6","21.4","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","60","3.108","20.0","18.3","41.7","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","58","2.974","12.1","17.2","32.8","29.3","8.6",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","81","2.963","19.8","7.4","42.0","14.8","12.3","3.7",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envr Engr Thermodynamics","324","001","","30","3.767","63.3","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","29","3.190","17.2","24.1","48.3","6.9",".","3.4",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","34","3.500","52.9","5.9","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","34","3.397","26.5","29.4","41.2","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","8","3.643","37.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Building Information Modeling","392","004","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","29","3.672","55.2","24.1","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrology","415","001","","15","3.607","46.7","33.3","6.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Env Sustain Eng","421","001","","30","3.717","76.7","3.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","426","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","426","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","26","3.846","80.8","7.7","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","38","3.855","78.9","13.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","8","3.125","12.5","25.0","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","30","3.300","23.3","33.3","30.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Architectural Design","451","001","","17","3.563","47.1","23.5","17.6",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Legal Aspects-Engineering","491","001","","11","3.227","27.3","9.1","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","47","3.553","48.9","19.1","25.5","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","53","3.566","52.8","22.6","17.0","3.8","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 123 of 469",""
