"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","235","3.857","86.8","4.7","1.3","1.7","0.9","0.9","0.9","2.1",".",".",".",".","0.9",".",".","."
"","103","001","457","3.819","80.5","10.5","4.6","1.8","1.1","0.2","0.7",".",".",".",".",".","0.2",".","0.4","."
"","103","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","484","3.830","81.6","9.9","4.3","1.7","1.0","0.2","0.6",".",".",".",".",".","0.2",".","0.4","."
"Women in World History","134","001","46","3.217","52.2","17.4","6.5",".","10.9","10.9","2.2",".",".",".",".",".",".",".",".","."
"","144","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Writing","","Course Total","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","153","3.473","47.1","29.4","7.2","5.2","4.6","3.3","0.7",".",".",".",".",".",".","2.0","0.7","."
"German Women Writers-Tran","270","001","15","3.633","73.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305","001","31","3.565","38.7","41.9","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","18","3.111","22.2","22.2","38.9",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","27","3.611","48.1","40.7","7.4",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","7","3.500","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Black Feminisms","333","001","19","3.474","57.9","31.6",".",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","30","3.600","83.3","3.3",".","3.3","3.3",".","6.7",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","001","23","3.977","91.3","4.3",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Visionary and Speculative Fict","359","001","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Disability","370","001","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Gender and Visual Culture","410","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","20","3.632","35.0","50.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"The Female Body in the World","423","001","37","3.583","73.0","10.8",".",".","8.1","2.7","2.7",".",".",".",".",".","2.7",".",".","."
"Crime, Gender and Justice","425","001","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Politics Gender Rights MidEast","435","001","14","3.269","28.6","28.6","14.3","7.1","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"American Indian Women","437","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexual Politics in Scandinavia","438","001","25","3.708","60.0","24.0","4.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","449","001","37","4.000","86.5",".",".",".",".",".",".",".",".",".",".",".","8.1","5.4",".","."
"","449","002","39","3.564","69.2","10.3","12.8",".","2.6",".","5.1",".",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","","Course Total","76","3.761","77.6","5.3","6.6",".","1.3",".","2.6",".",".",".",".",".","3.9","2.6",".","."
"Psychology of Women and Gender","522","001","11","3.550","36.4","36.4","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Framing Fatness","523","001","35","3.671","65.7","25.7","2.9",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","533","001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","533","002","37","3.676","62.2","27.0","8.1",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Topics: Gender & Biology","","Course Total","77","3.838","80.5","14.3","3.9",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","33","3.682","78.8","15.2",".",".",".",".","6.1",".",".",".",".",".",".",".",".","."
"Childbirth in the US","537","001","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Gender and Education","560","001","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 358 of 469",""
