"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","102
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","102
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Computing","Course Total","23","3.804","91.3","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"The Information Society","201
001","136","3.915","93.4","3.7",".",".","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","467","3.879","91.9","1.7","3.4","0.2","1.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Social Aspects","340
001","22","3.614","63.6","9.1","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","27","3.404","33.3","44.4","7.4","3.7","3.7",".","3.7",".",".",".",".",".",".",".","3.7","."
"Intro to Digital Information","351
001","156","3.936","96.2","0.6","1.3","0.6",".","1.3",".",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"Data Storytelling","407
001","43","3.105","39.5","20.9","14.0","9.3","4.7","4.7","7.0",".",".",".",".",".",".",".",".","."
"","440
001","41","3.634","63.4","29.3","2.4",".",".",".","4.9",".",".",".",".",".",".",".",".","."
"","440
002","30","3.767","80.0","13.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Concepts of Data & Info Scienc","Course Total","71","3.690","70.4","22.5","2.8",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","461
001","75","3.993","97.3","1.3",".",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","461
002","197","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
003","50","3.810","70.0","24.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","322","3.971","94.7","4.0","0.6","0.3",".",".",".",".",".",".",".",".","0.3",".",".","."
"Applied Database Design","464
001","84","3.583","48.8","28.6","14.3","7.1","1.2",".",".",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","470
001","36","3.583","61.1","16.7","16.7",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","500
002","17","3.750","58.8","23.5","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","500
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
006","15","3.600","60.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","37","3.708","62.2","18.9","10.8","5.4",".",".",".",".",".",".",".",".","2.7",".",".","."
"","501
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","12","3.542","75.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","501
003","10","3.550","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","32","3.672","81.3","9.4","3.1",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","510
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
003","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","510
004","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors in Infosec","Course Total","31","3.887","90.3",".","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","74","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
