"LATIN AMER, CARIB & IBERIAN  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction
260","001","","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua
363","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Migration & Migrant Experience
367","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya
376","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"440","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"440","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"982","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"982","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
LACIS","Dept. Total","","34","3.777","76.5","17.6","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
