"PHYSICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Plasmas","525","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531","001","","25","3.580","40.0","40.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atomic Structure","545","001","","10","3.389","50.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".","10.0",".",".","."
"Solid State Physics","551","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microscopy of Life","619","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Optics","625","001","","19","3.676","52.6","21.1","10.5","5.3",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","701","001","","25","",".",".",".",".",".",".",".","96.0","4.0",".",".",".",".",".",".","."
"","701","002","","21","",".",".",".",".",".",".",".","95.2",".",".",".",".","4.8",".",".","."
"Introductory Seminars","","Course Total","","46","",".",".",".",".",".",".",".","95.7","2.2",".",".",".","2.2",".",".","."
"Quantum Computing Laboratory","707","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Computing","709","001","","30","3.567","46.7","23.3","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theoreticl Physics-Dynamics","711","001","","46","3.207","19.6","13.0","56.5","10.9",".",".",".",".",".",".",".",".",".",".",".","."
"Theor Physics-Electrodynmcs","721","001","","33","3.438","33.3","42.4","15.2",".","3.0",".","3.0",".",".",".",".",".","3.0",".",".","."
"Waves&Instabilities-Plasmas","724","001","","8","3.500","25.0","37.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Quantum Mechanics","731","001","","33","3.621","39.4","45.5","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Particle Physics","735","001","","8","3.250","50.0","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Quantum Electronics","746","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Physics","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","805","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quantum Mechanics","831","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium","900","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Plasma Physics","922","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 317 of 469",""
