"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Religion in Sickness & Health","102","001","138","3.383","36.2","32.6","16.7","7.2","3.6","1.4","1.4","0.7",".",".",".",".",".",".",".","."
"Consuming Happiness","173","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Law, Business, Ethics","203","001","8","3.250","25.0","50.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Health & Healing in South Asia","218","001","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women, Gender and Religion","305","001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307","001","22","3.727","72.7","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Sects and Cults","311","001","32","3.703","68.8","15.6","9.4",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Bible and Film: Lit and Media","323","001","25","3.260","36.0","32.0","12.0","4.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333","001","42","3.819","61.9","16.7","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Nordic Mythology","342","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","8","3.357","37.5","12.5","25.0",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"","400","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","15","3.679","66.7","6.7","13.3",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Christianity-Atlantic World","409","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Meditation Buddhism & Hinduism","473","001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
