"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"","200
001","81","3.370","33.3","25.9","28.4","8.6","2.5","1.2",".",".",".",".",".",".",".",".",".","."
"","200
002","74","3.426","28.4","40.5","24.3","4.1","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"International Business","Course Total","155","3.397","31.0","32.9","26.5","6.5","1.9","1.3",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","329
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","329
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spanish for Business","Course Total","3","***","","","","","","","","","","","","","","","",""
"","403
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","21","3.786","71.4","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","37","3.784","70.3","18.9","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","420
002","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","16","3.656","31.3","68.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad in Intl Bus","450
001","18","3.278","50.0","22.2",".","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"Global Learning Experience","767
050","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"235
INTL BUS","Dept. Total","284","3.568","50.4","26.1","16.2","4.6","1.8","0.7","0.4",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","32","3.484","37.5","31.3","21.9","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","113","3.516","42.5","31.0","17.7","5.3","2.7","0.9",".",".",".",".",".",".",".",".",".","."
"Senior","","102","3.598","54.9","22.5","14.7","3.9","2.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Undergraduates","","248","3.545","46.8","27.8","16.9","5.2","2.0","0.8","0.4",".",".",".",".",".",".",".",".","."
"Special","","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","284","3.568","50.4","26.1","16.2","4.6","1.8","0.7","0.4",".",".",".",".",".",".",".",".","."
