"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","100
001","99","3.837","83.8","8.1","3.0",".","3.0","1.0",".",".",".",".",".",".",".",".","1.0","."
"","100
002","97","3.722","73.2","14.4","6.2","2.1","2.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"","100
003","97","3.876","87.6","9.3",".","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","100
004","100","3.905","90.0","5.0","2.0","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Disability and Society","Course Total","393","3.835","83.7","9.2","2.8","1.3","1.8","0.5","0.5",".",".",".",".",".",".",".","0.3","."
"","121
001","40","3.888","87.5","2.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","40","3.875","90.0","2.5","2.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Disability and Substance Abuse","Course Total","80","3.881","88.8","2.5","6.3","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","125
001","59","3.966","98.3",".",".",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","125
002","59","3.898","96.6",".",".",".","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","Course Total","118","3.932","97.5",".",".",".","1.7",".","0.8",".",".",".",".",".",".",".",".","."
"Disability & Crim Justice Syst","135
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Special Education","200
002","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Disability Experience","210
001","20","3.650","90.0",".",".",".",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","300
001","71","3.951","94.4","4.2",".",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","300
002","98","3.908","94.9",".","1.0","2.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"","300
003","74","3.892","91.9","5.4",".",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","243","3.916","93.8","2.9","0.4","0.8","1.2","0.4","0.4",".",".",".",".",".",".",".",".","."
"","310
001","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","Course Total","73","3.959","91.8","8.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001","46","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","44","3.977","93.2","4.5",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Health Prmtion Disab & Illness","Course Total","90","3.966","92.2","6.7",".",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"Intro to Teaching Special Ed","320
001","36","3.800","77.8","16.7",".",".",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"","325
001","31","3.952","96.8",".",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self Mngmt Illness, Disability","Course Total","60","3.975","98.3",".",".","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Analys:Person-Disabilty","330
001","38","3.868","94.7",".","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","335
001","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Service for Hlth/Rehab","355
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","23","3.350","47.8","8.7","17.4",".","8.7",".","4.3",".",".",".",".",".","13.0",".",".","."
"Tching Math in Inclusive Set","Course Total","32","3.552","62.5","6.3","12.5",".","6.3",".","3.1",".",".",".",".",".","9.4",".",".","."
"Overview ECSE","435
001","23","3.864","82.6",".","13.0",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"ECSE Methods Presch & Early El","460
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","465
001","21","3.810","76.2","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","465
002","18","3.722","61.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Inst for Stdt with Dis","Course Total","39","3.769","69.2","23.1","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 79 of 469"
