"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","24","3.400","54.2","8.3","29.2",".","4.2","4.2","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","55","3.297","43.6","12.7","25.5","5.5","10.9","1.8","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","82","3.335","47.6","11.0","26.8","3.7","8.5","2.4","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","77","3.772","37.7","10.4","1.3",".","1.3",".","",".","7.8","",".",".","",".","41.6","",".",".",".","."
"Prof Yr 1","","61","3.809","67.2","29.5","3.3",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","72","3.800","62.5","30.6","2.8",".",".",".","",".","4.2","",".",".","",".",".","",".",".",".","."
