"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","30","3.833","93.3",".","3.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","203
001","125","3.463","41.6","28.8","15.2","4.8","8.0",".",".",".",".",".",".",".","1.6",".",".","."
"","203
002","79","3.297","35.4","25.3","20.3","3.8","13.9","1.3",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","204","3.399","39.2","27.5","17.2","4.4","10.3","0.5",".",".",".",".",".",".","1.0",".",".","."
"","204
001","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","204
002","65","3.836","72.3","20.0","6.2",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Data Science & Engineering","Course Total","77","3.853","74.0","18.2","5.2",".",".",".",".","1.3",".",".",".",".","1.3",".",".","."
"","210
001","91","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","93","3.978","96.8","2.2","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","184","3.989","98.4","1.1","0.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","121","3.785","77.7","10.7","6.6","2.5","1.7","0.8",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","83","3.169","25.3","24.1","24.1","12.0","14.5",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","103","3.074","32.0","17.5","15.5","8.7","21.4","1.0","1.9",".",".",".",".",".","1.9",".",".","."
"","235
001","23","3.196","21.7","26.1","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","235
002","51","3.598","52.9","25.5","11.8","7.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","Course Total","74","3.473","43.2","25.7","17.6","9.5","4.1",".",".",".",".",".",".",".",".",".",".","."
"","252
001","128","3.457","49.2","22.7","12.5","9.4","3.9","0.8","1.6",".",".",".",".",".",".",".",".","."
"","252
006","89","3.371","42.7","28.1","9.0","12.4","2.2","5.6",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","217","3.422","46.5","24.9","11.1","10.6","3.2","2.8","0.9",".",".",".",".",".",".",".",".","."
"","270
001","67","3.508","44.8","23.9","20.9","7.5",".","1.5",".",".",".",".",".",".",".","1.5",".","."
"","270
002","43","3.512","44.2","25.6","18.6","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","110","3.509","44.5","24.5","20.0","9.1",".","0.9",".",".",".",".",".",".",".","0.9",".","."
"","271
001","57","3.395","43.9","12.3","29.8","7.0","7.0",".",".",".",".",".",".",".",".",".",".","."
"","271
002","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","64","3.383","43.8","12.5","28.1","7.8","7.8",".",".",".",".",".",".",".",".",".",".","."
"","303
001","17","3.647","58.8","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","33","3.621","48.5","33.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","315
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","81","3.975","97.5","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","23","3.174","56.5",".","13.0","8.7","8.7","13.0",".",".",".",".",".",".",".",".",".","."
