"MECHANICAL ENGINEERING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Interdis Exper Dsgn Projects I","351","001","178","3.882","79.8","18.0","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352","001","83","3.898","81.9","15.7","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361","001","47","2.521","17.0","12.8","10.6","23.4","17.0","14.9","4.3",".",".",".",".",".",".",".",".","."
"","361","002","61","2.877","19.7","16.4","29.5","18.0","6.6","4.9","4.9",".",".",".",".",".",".",".",".","."
"","361","003","55","2.673","14.5","20.0","14.5","16.4","21.8","10.9","1.8",".",".",".",".",".",".",".",".","."
"Thermodynamics","","Course Total","163","2.706","17.2","16.6","19.0","19.0","14.7","9.8","3.7",".",".",".",".",".",".",".",".","."
"","363","001","50","3.090","14.0","42.0","14.0","16.0","10.0","4.0",".",".",".",".",".",".",".",".",".","."
"","363","002","55","3.500","41.8","25.5","27.3","1.8","3.6",".",".",".",".",".",".",".",".",".",".","."
"","363","003","31","3.032","12.9","25.8","38.7","6.5","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","","Course Total","136","3.243","25.0","31.6","25.0","8.1","8.1","2.2",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","364","001","130","3.077","14.6","28.5","29.2","22.3","1.5","3.1","0.8",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368","001","124","3.435","41.1","20.2","26.6","8.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370","001","78","3.404","14.1","59.0","24.4","1.3",".","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Mechatronics","376","001","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopaedic Biomechanics","414","001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Design with Polymers","418","001","57","3.795","77.2","10.5","5.3","1.8","3.5",".",".",".",".",".",".",".","1.8",".",".","."
"","419","001","29","3.810","62.1","37.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419","003","15","3.708","40.0","33.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".","13.3","."
"Fundamentals-Injection Molding","","Course Total","44","3.780","54.5","36.4","2.3",".",".",".",".",".",".",".",".",".","2.3",".","4.5","."
"Stat Expermntl Design","424","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","429","001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","40","3.388","27.5","42.5","17.5","5.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440","001","24","3.521","37.5","33.3","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","446","001","36","3.500","44.4","22.2","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Welding Metallurgy","462","001","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469","001","46","3.614","58.7","21.7","6.5","4.3","2.2",".","2.2",".",".",".",".",".","4.3",".",".","."
"Gas Turbine and Jet Propulsion","471","001","26","3.538","46.2","30.8","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Energy, Sustainblty, and Tech","472","001","16","3.594","56.3","31.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Fluid Power","474","001","15","3.367","20.0","40.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475","001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","489","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","110","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","491","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 148 of 469",""
