"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Int. English Language Skills
114
001","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"115
001","20","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"115
002","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Grammar for Academic Use","40","",".",".",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".","."
"116
001","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"116
002","16","",".",".",".",".",".",".",".",".",".","81.3","18.8",".",".",".",".","."
"116
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
005","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"116
006","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"116
008","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"116
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
012","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
013","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","152","",".",".",".",".",".",".",".",".",".","93.4","6.6",".",".",".",".","."
"117
001","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"117
003","14","",".",".",".",".",".",".",".",".",".","78.6","21.4",".",".",".",".","."
"117
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
006","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"117
007","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
009","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
013","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
014","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"117
016","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"117
017","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
018","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing I","173","",".",".",".",".",".",".",".",".",".","95.4","4.6",".",".",".",".","."
"118
001","15","3.750","66.7","6.7","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"118
003","16","3.719","68.8","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"118
006","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
007","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"118
009","16","3.700","81.3","6.3",".",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"118
010","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
011","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
012","15","3.571","66.7","13.3","6.7",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"118
013","15","3.643","73.3","13.3",".",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"118
015","16","3.800","56.3","37.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Course Total
Academic Writing II","149","3.736","69.8","20.1","2.7","1.3",".",".","2.7",".",".",".",".",".","3.4",".",".","."
"343
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"343
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Oral Communication Skills","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
