"FOREST AND WILDLIFE ECOLO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","36","3.778","83.3",".","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","48","3.625","81.3","4.2","4.2","4.2",".",".","6.3",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","127","2.935","22.0","21.3","20.5","8.7","17.3","6.3","1.6","2.4",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","17","3.500","35.3","35.3","11.8","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"Principles-Wildlife Ecology","318","001","46","3.261","39.1","23.9","13.0","10.9","8.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","44","3.727","68.2","13.6","15.9",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Learning to Action: Prof Dev","390","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dendrology","402","001","12","3.800","66.7",".","16.7",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Disturb Ecol Lab: Forest Path","450","001","15","3.733","80.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeochem","451","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","19","3.474","26.3","52.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515","001","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","56","2.991","17.9","21.4","28.6","12.5","17.9",".","1.8",".",".",".",".",".",".",".",".","."
"Forest Ecology","550","001","42","3.786","88.1",".","7.1",".","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","002","35","3.229","51.4","14.3","8.6","8.6","2.9","14.3",".",".",".",".",".",".",".",".",".","."
"","571","001","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","7","3.333","14.3","28.6","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Stat Meth for Bioscience I","","Course Total","13","3.250","15.4","23.1","46.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"Complex Conservation of Deer","577","001","23","3.048","8.7","34.8","21.7","8.7","17.4",".",".",".",".",".",".",".","8.7",".",".","."
"Wildlife Research Capstone","599","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","15","3.679","66.7","20.0",".",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","16","4.000","81.3",".",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"Intr. to WI Ecol.: Grad Sem","953","001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 22 of 469"
