"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Genetics in the News","133","001","292","3.600","58.6","20.9","12.0","3.4","2.4","2.1","0.3",".",".",".",".",".",".",".","0.3","."
"","155","001","59","3.898","93.2","3.4",".",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","155","002","57","3.893","86.0","5.3","5.3","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"Freshman Seminar in Genetics","","Course Total","116","3.896","89.7","4.3","2.6","0.9","0.9","0.9",".",".",".",".",".",".","0.9",".",".","."
"","299","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","094","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","144","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","145","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","150","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","152","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","153","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","23","3.867","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","375","001","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","375","002","31","3.887","87.1","3.2","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","003","18","3.639","44.4","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","61","3.780","72.1","18.0","6.6","1.6",".",".",".",".",".",".",".",".",".",".","1.6","."
"Coord Intrnshp/Cooprtv Educ","399","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Genetics","466","001","151","2.728","15.9","15.9","23.8","6.6","28.5","8.6","0.7",".",".",".",".",".",".",".",".","."
"General Genetics 1","467","001","117","3.021","23.1","29.9","16.2","10.3","12.0","6.8","1.7",".",".",".",".",".",".",".",".","."
"Basic Cytology & Lab Procudure","470","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurogenetics","520","001","54","3.648","53.7","29.6","9.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","522","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","002","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","","Course Total","24","3.888","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Gen for Conserv Regen","527","001","35","3.957","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","545","002","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Genetics","565","001","52","3.317","25.0","34.6","25.0","9.6","5.8",".",".",".",".",".",".",".",".",".",".","."
"Companion Research Seminar","567","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Female Reproductive System","570","001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Clinical Practice I","571","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Respiratory System","572","001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Genitourinary System","573","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immunogenetics","588","001","38","3.855","81.6","7.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612","001","16","3.219","18.8","18.8","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Genetics","631","001","36","3.764","86.1","2.8","2.8","5.6",".",".","2.8",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
