"EM Elective - Advanced","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"","998
002","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","998
012","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"330
EMER MED","Dept. Total","","42","3.929","23.8","",".","2.4","",".","",".","",".","",".","73.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","6","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","33","4.000","6.1","",".",".","",".","",".","",".","",".","93.9","",".",".","",".","",".","",".",".",".","."
"Professionals","","","39","4.000","20.5","",".",".","",".","",".","",".","",".","79.5","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","42","3.929","23.8","",".","2.4","",".","",".","",".","",".","73.8","",".",".","",".","",".","",".",".",".","."
