"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"BUS","College Total","18557","3.426","40.2","24.0","16.5","6.0","4.1","0.9","0.3","0.3","",".","7.3","0.1","0.1","0.1","0.0","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"BUS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","756","3.672","49.7","7.1","3.8","1.5","1.3","0.5","0.1",".","",".","35.6","0.3",".",".",".",".","."
"Sophomore","","2919","3.221","30.5","17.5","15.8","8.7","6.5","1.4","0.5",".","",".","18.7","0.1",".","0.2",".",".","."
"Junior","","5110","3.336","35.0","23.3","19.4","7.7","6.1","1.4","0.4","0.1","",".","6.4","0.1",".","0.1",".",".","."
"Senior","","5734","3.453","39.1","27.8","19.2","6.3","3.4","0.6","0.3","0.1","",".","3.0","0.1",".","0.1","0.0",".","."
"Undergraduates","","14519","3.373","36.5","23.1","17.8","7.1","4.9","1.0","0.4","0.0","",".","9.0","0.1",".","0.1","0.0",".","."
"Special","","298","3.256","28.9","24.2","19.5","6.4","6.4","1.7","1.7","3.0","",".","5.0",".",".",".","1.7","1.7","."
"Graduate","","3717","3.671","55.6","27.6","11.5","1.8","1.0","0.1","0.1","1.3","",".","0.6","0.0","0.3","0.1",".",".","."
"Prof Yr 2","","7","3.857","71.4","28.6",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","11","3.909","81.8","18.2",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","23","3.848","73.9","21.7","4.3",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","College Total","18557","3.426","40.2","24.0","16.5","6.0","4.1","0.9","0.3","0.3","",".","7.3","0.1","0.1","0.1","0.0","0.0","."
