"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","Dept. Total","6789","3.084","32.9","13.1","21.5","8.7","12.9","3.9","1.1","5.5","0.0",".","",".","0.3","0.1",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1316","2.928","22.1","15.9","26.9","12.3","14.9","6.3","1.5",".","0.1",".","",".",".",".",".",".","."
"Sophomore","","2150","3.096","33.4","13.5","22.1","9.5","15.2","5.0","1.2",".",".",".","",".",".","0.1",".",".","."
"Junior","","1469","3.079","32.5","13.1","25.1","9.1","15.3","3.6","1.2",".",".",".","",".",".","0.1",".",".","."
"Senior","","922","3.119","34.5","15.9","22.9","8.9","13.3","2.1","1.3",".",".",".","",".","0.9","0.2",".",".","."
"Undergraduates","","5857","3.053","30.8","14.3","24.1","9.9","14.9","4.5","1.3",".","0.0",".","",".","0.1","0.1",".",".","."
"Special","","26","3.226","53.8","3.8","11.5","7.7","3.8","7.7","3.8",".",".",".","",".",".",".",".","7.7","."
"Graduate","","1131","3.763","56.8","4.5","4.2","0.4","0.3",".",".","33.1",".",".","",".","0.9",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","7016","3.084","35.1","12.7","20.8","8.4","12.5","3.8","1.1","5.3","0.0",".","",".","0.3","0.1",".","0.0","."
