"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"Prin & Prac-Crop Production
100","001","","56","3.764","66.1","23.2","3.6","5.4",".",".",".",".",".",".",".",".","1.8",".",".","."
"Agroecology of Food and Ag
103","002","","57","3.614","57.9","21.1","10.5","7.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Global Health
203","001","","42","3.774","73.8","11.9","11.9",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Forage Mgmt & Utilization
302","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Cell Cult. & Genet. Eng.
340","001","","8","3.000","50.0",".","12.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology
370","001","","123","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tropical Horticultural Systems
376","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems
699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Agroecosystems & Global Chng
724","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Practicum-Agronomy Teaching
799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biometric Proc-Plnt Breedng
811","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","45","",".",".",".",".",".",".",".","51.1",".",".",".","48.9",".",".",".","."
