"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","Dept. Total","2656","3.514","47.3","24.7","12.3","5.1","2.4","0.9","1.0","4.0","",".","0.6","",".","0.7","0.5","0.1","0.4","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","384","3.385","33.9","32.6","19.0","10.2","3.4","0.5","0.5",".","",".",".","",".",".",".",".",".","."
"Sophomore","","574","3.476","46.2","27.5","14.3","6.4","3.5","1.0","1.0",".","",".",".","",".",".",".",".",".","."
"Junior","","706","3.528","53.4","23.7","12.7","4.1","2.4","1.1","1.6","0.1","",".","0.3","",".",".","0.4",".",".","0.1"
"Senior","","716","3.595","55.0","24.9","9.6","3.9","1.8","0.8","1.0","0.3","",".","0.4","",".","1.5","0.4","0.3",".","."
"Undergraduates","","2380","3.507","49.0","26.4","13.2","5.6","2.6","0.9","1.1","0.1","",".","0.2","",".","0.5","0.3","0.1",".","0.0"
"Special","","71","3.199","18.3","8.5","8.5","2.8","1.4","2.8","1.4","39.4","",".",".","",".",".","1.4",".","15.5","."
"Graduate","","204","3.813","37.3","10.8","2.9",".","0.5",".",".","36.3","",".","5.9","",".","3.4","2.9",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2656","3.514","47.3","24.7","12.3","5.1","2.4","0.9","1.0","4.0","",".","0.6","",".","0.7","0.5","0.1","0.4","0.0"
