"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","32","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","74","3.731","77.0","6.8","9.5","1.4","2.7","1.4",".",".","",".",".","",".","1.4","",".",".",".","."
"Undergraduates","107","3.800","84.1","4.7","6.5","0.9","1.9","0.9",".",".","",".",".","",".","0.9","",".",".",".","."
"Special","17","3.636","64.7","17.6","5.9","5.9",".",".","5.9",".","",".",".","",".",".","",".",".",".","."
"Graduate","323","3.907","54.2","6.2","2.2","0.3","0.3",".",".","15.2","",".","20.4","",".","1.2","",".",".",".","."
"Prof Yr 1","186","3.369","33.9","22.6","30.6","7.0","5.9",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","304","3.726","61.5","26.0","10.2","1.6","0.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","119","3.735","62.2","24.4","11.8","1.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","609","3.606","53.2","24.6","16.7","3.3","2.1",".",".",".","",".",".","",".",".","",".",".",".","."
