"EDU","","","","","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
695
OCC THER","519","3.826","81.5","13.3","3.5","1.0","0.2","",".","0.4","0.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","12","3.500","66.7","16.7","8.3",".",".","",".","8.3",".","",".",".","",".","",".","",".",".",".","."
"Junior","16","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","20","3.800","85.0",".","5.0","10.0",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","52","3.779","80.8","9.6","3.8","3.8",".","",".","1.9",".","",".",".","",".","",".","",".",".",".","."
"Graduate","467","3.828","81.6","13.7","3.4","0.6","0.2","",".","0.2","0.2","",".",".","",".","",".","",".",".",".","."
"Dept. Total","519","3.826","81.5","13.3","3.5","1.0","0.2","",".","0.4","0.2","",".",".","",".","",".","",".",".",".","."
