"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","25","3.976","96.0","4.0",".","",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","29","3.827","89.7","3.4",".","",".","",".","3.4","",".",".","",".",".","",".","",".","",".",".","3.4","."
"Undergraduates","","61","3.902","93.4","3.3",".","",".","",".","1.6","",".",".","",".",".","",".","",".","",".",".","1.6","."
"Graduate","","21","3.778","23.8","4.8","4.8","",".","",".",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
