"PATHO-BIOLOGICAL SCIENCES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Topics & Careers in Vet Sci
150","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HIV: Sex, Society and Science
210","001","","22","3.773","77.3","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Immunology
510","001","","93","3.651","53.8","28.0","14.0","3.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Veterinary Epidemolgy
512","001","","93","3.290","24.7","34.4","23.7","12.9","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Veterinary Virology
513","001","","93","3.581","46.2","26.9","23.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Bact & Mycology
517","001","","93","3.871","74.2","25.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Active, Integrated Learning I
525","001","","93","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"Immunology
528","001","","49","3.033","32.7","8.2","22.4","14.3","8.2",".","6.1","8.2",".",".",".",".",".",".",".","."
"Veterinary General Path
559","003","","93","3.887","78.5","20.4","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Systemic Path I
560","002","","93","3.624","51.6","25.8","18.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Necropsy Diag Pathology
660","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","29","",".",".",".",".",".",".",".","96.6",".",".",".",".","3.4",".",".","."
"675","003","","187","",".",".",".",".",".",".",".","99.5",".",".",".",".","0.5",".",".","."
"Special Topics","Course Total","","216","",".",".",".",".",".",".",".","99.1",".",".",".",".","0.9",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","72.2",".",".",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"Advanced Seminar
930","012","","22","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 462 of 469",""
