"L&S","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","110
001","12","3.458","58.3","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","110
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First-year Seminar in ILS","Course Total","31","3.790","83.9","9.7","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","136","3.700","67.6","19.9","5.1","2.9","2.2",".","1.5",".",".",".",".",".","0.7",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","110","3.568","58.2","14.5","15.5","8.2","2.7","0.9",".",".",".",".",".",".",".",".",".","."
"West Culture:Lit&The Arts I","203
001","191","3.578","59.7","15.7","13.1","3.7","2.1","2.1","1.0","2.6",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","44","3.298","27.3","38.6","15.9","4.5","4.5","2.3","2.3",".",".",".",".",".",".",".","4.5","."
"Literature and Society","253
001","34","3.561","44.1","23.5","26.5","2.9",".",".",".",".",".",".",".",".",".","2.9",".","."
"Literature and Science","254
001","24","3.773","62.5","16.7","12.5",".",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"Intro to Sustainability Sci","255
001","19","3.278","36.8","5.3","36.8","5.3","10.5",".",".",".",".",".",".",".","5.3",".",".","."
"Machiavelli and His World","365
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Migration & Migrant Experience","367
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Interdis in Arts & Humanities","371
002","11","3.500","45.5","36.4",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Thought","423
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"500
ILS","Dept. Total","619","3.597","58.8","18.4","12.3","4.0","2.4","1.0","1.0","1.0",".",".",".",".","0.6","0.2","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","106","3.616","60.4","19.8","13.2","1.9","1.9",".","1.9",".",".",".",".",".","0.9",".",".","."
"Sophomore","","258","3.586","60.5","19.0","9.7","4.3","3.1","1.9","0.8",".",".",".",".",".","0.8",".",".","."
"Junior","","164","3.578","60.4","15.2","13.4","6.1","2.4","0.6","1.2",".",".",".",".",".",".","0.6",".","."
"Senior","","83","3.643","54.2","22.9","18.1","2.4","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"Undergraduates","","611","3.597","59.6","18.7","12.4","4.1","2.5","1.0","1.0",".",".",".",".",".","0.7","0.2",".","."
"Special","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"","Dept. Total","619","3.597","58.8","18.4","12.3","4.0","2.4","1.0","1.0","1.0",".",".",".",".","0.6","0.2","0.3","."
