"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","13","3.231","23.1","46.2","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","140
003","96","3.900","84.4","11.5","2.1",".","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"History of Race and Inequality","143
001","16","3.750","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","28","3.911","92.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","150
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","25","3.680","84.0",".","8.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","69","3.848","91.3","1.4","2.9",".","2.9",".","1.4",".",".",".",".",".",".",".",".","."
"Listening to the Land","197
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race,Ethnicty&Inequal-Am Ed","200
002","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Education","202
001","43","3.826","74.4","16.3","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Methods in Ed Pol","209
001","35","3.700","60.0","28.6","5.7","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","210
001","62","3.903","90.3","6.5","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"","210
003","58","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","120","3.933","93.3","3.3","2.5",".",".","0.8",".",".",".",".",".",".",".",".",".","."
"","212
001","35","3.743","82.9",".","8.6","5.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"","212
002","52","3.980","94.2","3.8",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Education for Social Justice","Course Total","87","3.884","89.7","2.3","3.4","2.3",".","1.1",".",".",".",".",".",".","1.1",".",".","."
"","220
001","58","3.991","98.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
002","26","3.346","46.2","30.8","3.8","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","84","3.792","82.1","10.7","1.2","2.4","1.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"Wealth, Poverty and Inequality","237
002","25","3.870","80.0","8.0",".",".","4.0",".",".",".",".",".",".",".","8.0",".",".","."
"Comparative Education","240
001","96","3.839","79.2","11.5","7.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"International Educational Dev","260
001","29","3.828","89.7","6.9",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","300
001","73","3.788","75.3","17.8","2.7",".","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"","300
002","98","3.995","98.0","1.0",".",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"","300
003","42","3.929","88.1","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","213","3.910","88.3","8.5","1.4",".","0.9","0.5",".",".",".",".",".",".","0.5",".",".","."
"Climate Chng, Sustain, and Ed","320
003","98","3.943","90.8","5.1","3.1",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Globalization and Education","335
001","20","3.600","65.0","10.0","15.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","350
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Education Studies","Course Total","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"History-American Education","412
001","71","3.739","70.4","15.5","5.6","1.4","2.8","1.4",".","2.8",".",".",".",".",".",".",".","."
