"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","221","3.833","77.4","15.8","5.4","0.5","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"","306
002","48","3.958","97.9",".",".",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","306
003","48","3.789","75.0","8.3","2.1","6.3","2.1",".",".",".",".",".",".",".",".","6.3",".","."
"The Real Estate Process","Course Total","317","3.846","80.1","12.3","4.1","1.3","0.9",".","0.3",".",".",".",".",".",".","0.9",".","."
"","365
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","32","2.922","18.8","21.9","15.6","18.8","21.9","3.1",".",".",".",".",".",".",".",".",".","."
"","410
002","44","2.852","18.2","20.5","18.2","9.1","31.8",".","2.3",".",".",".",".",".",".",".",".","."
"","410
003","58","3.325","27.6","25.9","27.6","17.2",".",".",".",".",".",".",".",".","1.7",".",".","."
"","410
004","64","3.195","18.8","26.6","35.9","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","198","3.112","21.2","24.2","26.3","14.1","12.6","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"","411
002","97","3.387","35.1","26.8","27.8","5.2","4.1",".","1.0",".",".",".",".",".",".",".",".","."
"","411
003","44","3.250","27.3","25.0","29.5","15.9",".",".","2.3",".",".",".",".",".",".",".",".","."
"Excel Modeling","Course Total","141","3.344","32.6","26.2","28.4","8.5","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","412
002","85","3.347","36.5","24.7","17.6","14.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","415
001","38","3.342","28.9","23.7","34.2","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","22","3.295","27.3","27.3","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","415
003","35","3.443","37.1","20.0","37.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","95","3.368","31.6","23.2","34.7","8.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"","420
001","51","3.480","35.3","29.4","31.4","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","57","3.509","38.6","35.1","17.5","7.0","1.8",".",".",".",".",".",".",".",".",".",".","."
"","420
003","54","3.491","33.3","37.0","24.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","162","3.494","35.8","34.0","24.1","5.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"","425
001","40","3.613","42.5","37.5","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","22","3.591","40.9","36.4","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","29","3.707","55.2","31.0","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","91","3.637","46.2","35.2","18.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Est Investment Analysis","530
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","23","3.783","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Capital Markets","640
001","15","3.533","40.0","40.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","33","3.636","51.5","30.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","37","3.459","37.8","32.4","21.6","5.4",".","2.7",".",".",".",".",".",".",".",".",".","."
"","710
002","18","3.417","33.3","27.8","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","55","3.445","36.4","30.9","23.6","7.3",".","1.8",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","43","3.419","37.2","30.2","18.6","11.6",".","2.3",".",".",".",".",".",".",".",".",".","."
"","720
001","29","3.845","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
002","20","3.500","50.0","30.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Urban Economics","Course Total","49","3.704","65.3","22.4","8.2",".","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","30","3.417","33.3","36.7","26.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Real Estate Law","760
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 65 of 469",""
