"L&S","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"1st Semester Portuguese","101
002","","17","3.063","35.3","11.8","23.5",".","17.6",".","5.9","5.9",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","201
001","","13","3.115","38.5","7.7","15.4","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Smr-Latin American Area","982
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"782
PORTUG","Dept. Total","","56","3.362","48.2","12.5","16.1","3.6","10.7",".","1.8","1.8",".",".",".","1.8","1.8","1.8",".","."
