"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","7","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Special","8","4.000","75.0",".",".",".",".","",".",".",".","",".",".","",".",".","25.0",".",".","."
"Graduate","574","3.950","82.2","1.7","0.3","0.3","0.2","",".","0.5","8.4","",".","0.3","",".","2.4","3.5",".",".","."
"Prof Yr 3","6","3.833","66.7","33.3",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","7","3.857","71.4","28.6",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
