"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"765","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment I
841","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 2
851","001","","32","3.594","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Urban Land Economics
875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Research Seminar
978","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","","4","***","","","","","","","","","","","","","","","",""
