"","999
161","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
173","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
189","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"DMA Recital","Course Total","37","3.984","81.1","2.7",".",".",".","",".",".","",".","",".",".","",".","",".","16.2",".",".","."
"664
MUS PERF","Dept. Total","451","3.911","84.5","8.0","3.3","0.2","0.7","",".","0.2","",".","",".",".","",".","",".","2.9",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","57","3.818","82.5","10.5","5.3",".",".","",".","1.8","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","109","3.909","86.2","6.4","4.6",".","0.9","",".",".","",".","",".",".","",".","",".","0.9",".","0.9","."
"Junior","","82","3.892","81.7","12.2","2.4",".","1.2","",".",".","",".","",".",".","",".","",".","2.4",".",".","."
"Senior","","77","3.858","79.2","9.1","6.5","1.3","1.3","",".",".","",".","",".",".","",".","",".","2.6",".",".","."
"Undergraduates","","325","3.877","82.8","9.2","4.6","0.3","0.9","",".","0.3","",".","",".",".","",".","",".","1.5",".","0.3","."
"Special","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","124","3.972","88.7","4.8",".",".",".","",".",".","",".","",".",".","",".","",".","6.5",".",".","."
"","Dept. Total","451","3.911","84.5","8.0","3.3","0.2","0.7","",".","0.2","",".","",".",".","",".","",".","2.9",".","0.2","."
