"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"","101
001","68","3.545","30.9","58.8","4.4","1.5","1.5",".","1.5",".",".",".",".",".","1.5",".",".","."
"","101
002","43","2.857","9.3","14.0","46.5","9.3","11.6","7.0",".",".",".",".",".",".","2.3",".",".","."
"Intro to Asian Amer Studies","Course Total","111","3.280","22.5","41.4","20.7","4.5","5.4","2.7","0.9",".",".",".",".",".","1.8",".",".","."
"Asian American Movement","121
001","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","124","3.789","76.6","12.1","4.8","2.4","3.2",".",".",".",".",".",".",".","0.8",".",".","."
"AsianAm Lit & Pop Culture","152
001","153","3.852","81.7","9.8","5.2","1.3","1.3",".",".",".",".",".",".",".","0.7",".",".","."
"Hmong American Experiences","170
001","69","3.710","69.6","15.9","10.1","1.4","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","17","3.353","17.6","52.9","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","240
001","41","3.793","78.0","14.6",".","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","240
005","32","3.633","46.9","25.0","21.9",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","240
008","40","3.863","80.0","15.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","113","3.775","69.9","17.7","7.1","1.8","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Eating Asian America","250
001","29","3.054","17.2","13.8","41.4","17.2","3.4","3.4",".","3.4",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Americans and Media","420
001","16","3.344","56.3","18.8","12.5",".",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"Topic in Asian American Lit","462
001","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Poetry","465
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"184
ASIAN AM","Dept. Total","683","3.660","63.0","18.9","10.5","2.8","2.6","0.7","0.4","0.1",".",".",".",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","3.383","41.5","23.2","15.9","11.0","6.1",".","1.2",".",".",".",".",".","1.2",".",".","."
"Sophomore","","218","3.657","64.2","19.7","8.7","0.9","3.2","1.8","0.5",".",".",".",".",".","0.9",".",".","."
"Junior","","223","3.744","66.8","19.3","9.4","2.7","0.9",".",".",".",".",".",".",".","0.9",".",".","."
"Senior","","159","3.687","67.3","15.1","11.9","1.3","2.5","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"Undergraduates","","682","3.660","63.0","18.9","10.6","2.8","2.6","0.7","0.4",".",".",".",".",".","0.9",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","683","3.660","63.0","18.9","10.5","2.8","2.6","0.7","0.4","0.1",".",".",".",".","0.9",".",".","."
