"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","100
001","79","3.804","81.0","12.7","1.3","1.3","2.5",".","1.3",".",".",".",".",".",".",".",".","."
"","100
002","78","3.936","92.3","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"So You Want to Chng the World?","Course Total","157","3.869","86.6","7.6","3.2","0.6","1.3",".","0.6",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","19","3.684","63.2","26.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","85","3.618","61.2","21.2","9.4","3.5","2.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","65","3.692","72.3","9.2","12.3","3.1","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","375
001","21","3.310","19.0","42.9","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","400
005","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
014","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
016","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
101","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
102","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","112","3.938","88.4","10.7","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","15","3.500","26.7","33.3","26.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","441
001","19","3.763","73.7","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","441
002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
004","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
011","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW with Ind, Fams, and Grps","Course Total","113","3.894","85.0","10.6","3.5",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","442
001","22","3.818","77.3","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","442
002","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
005","21","3.750","66.7","14.3","9.5","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","96","3.837","76.0","16.7","4.2","1.0","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"Substance Use Disorders","453
001","118","3.886","83.1","13.6","1.7","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","22","3.795","77.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
001","46","3.767","54.3","41.3","2.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","605
010","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","61","3.808","63.9","31.1","3.3",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Social Policy","606
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity Opp Soc Just in SW","640
001","86","3.849","82.6","9.3","7.0",".",".","1.2",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","644
001","42","3.881","85.7","7.1","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 339 of 469",""
