"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Engr Principles-Biol Systms
249","001","","31","2.242","6.5",".","19.4","9.7","51.6","12.9",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Aided Design
270","001","","35","3.229","34.3","20.0","34.3","2.9","2.9",".","5.7",".",".",".",".",".",".",".",".","."
"Land Information Management
301","001","","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"367","001","","67","3.642","59.7","16.4","19.4","1.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"367","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","69","3.638","59.4","15.9","20.3","1.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment
372","001","","13","2.958","7.7","15.4","30.8","38.5",".",".",".","7.7",".",".",".",".",".",".",".","."
"Data Science for Life Science
380","001","","45","3.400","62.2","13.3","11.1","4.4",".",".","8.9",".",".",".",".",".",".",".",".","."
"Water Mgmt Systems
473","001","","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid Power
474","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery
475","001","","12","3.458","58.3","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Biol Sys Eng Dsgn Practicum II
509","001","","29","3.793","62.1","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar
900","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
