"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","198","3.756","78.3","13.1","2.5","2.0","0.5","1.0","2.0",".",".",".",".",".","0.5",".",".","."
"Intro-Mus Cult of the World","103
001","89","3.826","87.6","1.1","7.9",".","1.1","2.2",".",".",".",".",".",".",".",".",".","."
"Folklore Cent East North Eur","200
001","15","3.750","53.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","210
001","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
004","13","3.462","61.5","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","210
005","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","9","3.556","77.8",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","210
007","12","3.417","25.0","50.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","64","3.563","59.4","20.3","10.9","4.7",".","3.1","1.6",".",".",".",".",".",".",".",".","."
"The Irish Tradition","317
001","54","3.719","38.9","14.8","3.7",".",".","1.9",".","37.0",".",".",".",".","3.7",".",".","."
"Afro Asian Improv","319
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Folklore of Wisconsin","320
001","38","3.878","81.6","13.2",".",".","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Nordic Mythology","342
001","52","3.480","46.2","21.2","15.4","7.7","1.9",".","1.9","1.9",".",".",".",".","1.9","1.9",".","."
"Topics American Folklore","430
001","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437
001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Storytelling for Social Media","522
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"380
FOLKLORE","Dept. Total","533","3.718","69.4","13.9","5.6","2.4","0.8","1.5","1.1","3.9",".",".",".",".","0.9","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","35","3.657","71.4","11.4","11.4",".",".","5.7",".",".",".",".",".",".",".",".",".","."
"Sophomore","","132","3.609","72.7","7.6","6.8","3.0","0.8","3.0","3.0",".",".",".",".",".","2.3","0.8",".","."
"Junior","","184","3.784","75.5","14.7","3.8","3.3","1.1","1.1",".",".",".",".",".",".","0.5",".",".","."
"Senior","","159","3.739","67.9","20.8","6.3","1.9","0.6",".","1.3",".",".",".",".",".","0.6","0.6",".","."
"Undergraduates","","510","3.717","72.2","14.5","5.9","2.5","0.8","1.6","1.2",".",".",".",".",".","1.0","0.4",".","."
"Special","","22","4.000","4.5",".",".",".",".",".",".","95.5",".",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","533","3.718","69.4","13.9","5.6","2.4","0.8","1.5","1.1","3.9",".",".",".",".","0.9","0.4",".","."
