"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"Radiation Physics & Dosimetry
501","002","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cell Mol & Radiat Biol
510","001","","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Energy-Tissue Interac
535","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Phys and Bio Effects
569","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math Methods Medical Physics
573","001","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab for Med Imag w Ionizng Rad
581","002","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microscopy of Life
619","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuroimaging Methods
651","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rad Lab:CT,MRI,&DSA Physics
665","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rad Lab-Med Ultrasound Phys
666","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Medical Physics
671","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiation Physics Metrology
679","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Ethics in Medical Physics
701","001","","20","3.850","95.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Women and Leadership
705","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv in Med Magnet Resonance
710","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"X-ray Computed Tomography
777","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning Ultrason Imag
778","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Journal Club and Seminar","Course Total","","38","3.947","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
