"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","","",""
"Web Design for the Sciences","532
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
002","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","Course Total","","31","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
002","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","","33","3.848","72.7","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Communication Thry&Rsch","720
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci & Envir Communication","823
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Independent Research","999
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"120
LSC","Dept. Total","","1309","3.667","71.6","12.6","5.7","3.2","3.4","1.2","1.5","0.6",".",".",".",".","0.1","0.2",".","."
