"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Design Practicum","170
001","195","3.946","93.3","4.6","1.5",".",".","0.5",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","25","3.580","32.0","52.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","26","3.519","34.6","38.5","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.810","76.2","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
005","23","3.283","43.5","13.0","26.1","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","397
007","25","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","24","3.370","4.2","62.5","29.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","397
010","20","3.425","30.0","40.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
011","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","26","3.577","34.6","46.2","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","21","3.405","14.3","52.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","20","3.350","15.0","50.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","21","3.619","71.4","19.0",".",".",".","9.5",".",".",".",".",".",".",".",".",".","."
"","397
021","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
022","20","3.675","60.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
023","20","3.775","85.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","397
024","15","3.467","6.7","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
025","22","3.636","50.0","36.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
026","21","3.619","23.8","76.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
027","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","436","3.571","40.8","40.1","15.1","1.8","0.9","0.7","0.2",".",".",".",".",".","0.2",".",".","."
"Current Issues in Intl Engr","413
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Prototyping","477
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","23","3.944","95.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
