"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","Dept. Total","","64","3.484","48.4","12.5","7.8","6.3","1.6","1.6","1.6","18.8","",".",".","",".","1.6","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","","","34","3.410","61.8","11.8","8.8","11.8",".","2.9","2.9",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","39","3.424","59.0","15.4","10.3","10.3",".","2.6","2.6",".","",".",".","",".",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","","24","3.647","29.2","8.3","4.2",".","4.2",".",".","50.0","",".",".","",".","4.2","",".",".",".","."
"","Dept. Total","","64","3.484","48.4","12.5","7.8","6.3","1.6","1.6","1.6","18.8","",".",".","",".","1.6","",".",".",".","."
