"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","10","3.900","80.0","20.0",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","101
002","9","4.000","100.0",".",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Heritage and Values I","Course Total","19","3.947","89.5","10.5",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","201
001","10","3.800","70.0","20.0","10.0",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","201
002","14","3.929","85.7","14.3",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Team, Leadrshp Fundamentals I","Course Total","24","3.875","79.2","16.7","4.2","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Leadng People, Effectve Comm I","301
001","9","3.944","88.9","11.1",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"National Security Affairs","401
001","8","3.875","75.0","25.0",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Leadership Laboratory I","501
001","61","",".",".",".",".","","",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"102
A F AERO","Dept. Total","121","3.910","41.3","7.4","0.8","",".","",".","",".","",".","50.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","4.000","50.0",".",".","",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Sophomore","","33","3.912","42.4","9.1",".","",".","",".","",".","",".","48.5","",".",".","",".","",".","",".",".",".","."
"Junior","","35","3.933","45.7","5.7",".","",".","",".","",".","",".","48.6","",".",".","",".","",".","",".",".",".","."
"Senior","","22","3.889","31.8","9.1",".","",".","",".","",".","",".","59.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","104","3.920","42.3","6.7",".","",".","",".","",".","",".","51.0","",".",".","",".","",".","",".",".",".","."
"Special","","17","3.846","35.3","11.8","5.9","",".","",".","",".","",".","47.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","121","3.910","41.3","7.4","0.8","",".","",".","",".","",".","50.4","",".",".","",".","",".","",".",".",".","."
