"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research and Thesis","73","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total
682
NTP","267","3.668","26.6","2.6","4.9",".","1.9","0.4","",".","55.4","",".","7.9","",".","",".","",".",".","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","54","3.670","77.8","1.9","11.1",".","9.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","55","3.667","76.4","3.6","10.9",".","9.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","206","3.656","13.1","2.4","3.4",".",".","0.5","",".","69.9","",".","10.2","",".","",".","",".",".","0.5","."
"Prof Yr 2","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","267","3.668","26.6","2.6","4.9",".","1.9","0.4","",".","55.4","",".","7.9","",".","",".","",".",".","0.4","."
