"Research Pract-Engr Physics II","569
001","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"HPC for Apps in Engr","759
001","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"EP Graduate Seminar","920
001","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"347
E P","Dept. Total","114","3.195","48.2","14.0","14.9","8.8","6.1","2.6","",".","",".","",".","3.5","",".","",".","1.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","19","2.659","21.1","21.1","5.3","21.1","15.8","10.5","",".","",".","",".",".","",".","",".","5.3",".",".","."
"Junior","","30","3.013","26.7","16.7","36.7","10.0","6.7","3.3","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","33","3.625","66.7","15.2","12.1","3.0",".",".","",".","",".","",".",".","",".","",".","3.0",".",".","."
"Undergraduates","","82","3.119","41.5","17.1","19.5","9.8","6.1","3.7","",".","",".","",".",".","",".","",".","2.4",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","30","3.543","66.7","6.7","3.3","6.7","3.3",".","",".","",".","",".","13.3","",".","",".",".",".",".","."
"","Dept. Total","114","3.195","48.2","14.0","14.9","8.8","6.1","2.6","",".","",".","",".","3.5","",".","",".","1.8",".",".","."
