"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","48","3.938","89.6","8.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","194","3.593","55.7","26.8","9.8","3.1","2.6","0.5","1.5",".",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","241","3.745","73.9","14.9","3.3","4.1","0.8","1.7","0.4",".",".",".",".",".","0.8",".",".","."
"Dynamics","240
001","145","2.893","12.4","23.4","28.3","18.6","9.0","8.3",".",".",".",".",".",".",".",".",".","."
"Eng. Problem Solving EES","273
001","18","3.500","83.3",".","5.6",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","14","3.947","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
113","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","3.893","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","99","2.985","22.2","21.2","21.2","16.2","13.1","5.1","1.0",".",".",".",".",".",".",".",".","."
"","306
002","93","3.118","24.7","24.7","24.7","14.0","7.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","192","3.049","23.4","22.9","22.9","15.1","10.4","3.6","1.6",".",".",".",".",".",".",".",".","."
"","307
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","174","3.796","67.8","25.3","5.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing: Polymers","310
001","136","3.300","25.7","27.2","35.3","5.9","3.7","1.5",".",".",".",".",".",".","0.7",".",".","."
"Manufac: Metals and Automation","311
001","141","3.819","73.8","18.4","6.4","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Computer-Aided Engineering","331
001","139","3.561","48.2","27.3","19.4","1.4","2.9",".","0.7",".",".",".",".",".",".",".",".","."
"","340
001","83","3.259","22.9","33.7","27.7","10.8","2.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"","340
002","57","3.149","29.8","22.8","17.5","14.0","12.3","3.5",".",".",".",".",".",".",".",".",".","."
"Dynamic Systems","Course Total","140","3.214","25.7","29.3","23.6","12.1","6.4","2.1","0.7",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","117","3.091","18.8","23.9","28.2","16.2","10.3","1.7",".",".",".",".",".",".",".","0.9",".","."
"Intro to Controls for ME","346
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
