"ENGR MECHANICS & AEROSPA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","138","2.857","22.5","17.4","19.6","18.1","9.4","8.0","3.6",".",".",".",".",".","1.4",".",".","."
"201","002","","133","3.045","34.6","13.5","21.1","13.5","7.5","6.8","3.0",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","271","2.950","28.4","15.5","20.3","15.9","8.5","7.4","3.3",".",".",".",".",".","0.7",".",".","."
"Dynamics
202","001","","105","3.000","15.2","22.9","31.4","15.2","11.4","3.8",".",".",".",".",".",".",".",".",".","."
"303","001","","58","2.897","10.3","20.7","36.2","10.3","19.0","3.4",".",".",".",".",".",".",".",".",".","."
"303","002","","44","3.045","15.9","27.3","22.7","27.3","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","102","2.961","12.7","23.5","30.4","17.6","12.7","2.0","1.0",".",".",".",".",".",".",".",".","."
"307","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","64","3.867","76.6","20.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities
395","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements
405","001","","24","3.438","41.7","33.3","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering
469","001","","31","3.435","32.3","35.5","19.4","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research
489","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Mech of Materials I
506","001","","48","3.333","45.8","16.7","18.8","8.3","6.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"Aerodynamics
521","001","","37","2.622","18.9","2.7","21.6","18.9","29.7","5.4","2.7",".",".",".",".",".",".",".",".","."
"Rocket Propulsion
524","001","","44","3.395","38.6","34.1","9.1","6.8","4.5","4.5",".",".",".",".",".",".",".",".",".","2.3"
"Exp Vib & Dynamic Sys Analysis
540","001","","14","3.286","21.4","35.7","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics
542","001","","42","3.167","21.4","28.6","33.3","4.8","9.5",".","2.4",".",".",".",".",".",".",".",".","."
"Engineering Analysis I
547","001","","18","3.000","33.3","11.1","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"599","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.958","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
